"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","146,310",""
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","129,000",""
"SURVEY","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","16,900",""
"SURVEY","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","410",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","137,630",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","113,000",""
"SURVEY","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","24,100",""
"SURVEY","2016","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","530",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","229,010",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","201,000",""
"SURVEY","2015","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","27,600",""
"SURVEY","2015","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","410",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","173,300",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","140,000",""
"SURVEY","2014","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","32,900",""
"SURVEY","2014","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","400",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","183,120",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","149,000",""
"SURVEY","2013","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","33,800",""
"SURVEY","2013","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","320",""
"SURVEY","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","262,950",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","231,500",""
"SURVEY","2011","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","31,100",""
"SURVEY","2011","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","350",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","174,330",""
"SURVEY","2010","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","151,500",""
"SURVEY","2010","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","22,500",""
"SURVEY","2010","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","330",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","298,520",""
"SURVEY","2009","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","274,800",""
"SURVEY","2009","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","23,200",""
"SURVEY","2009","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","520",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","115,950",""
"SURVEY","2008","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","88,000",""
"SURVEY","2008","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","27,450",""
