"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.59",""
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.54",""
"SURVEY","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.07",""
"SURVEY","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.08",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.4",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.22",""
"SURVEY","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.02",""
"SURVEY","2016","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.23",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.86",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.87",""
"SURVEY","2015","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.06",""
"SURVEY","2015","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","0.85",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.94",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.72",""
"SURVEY","2014","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.7",""
