STATION_NAME,DATE,MEAN,STDDEV,TEMPS
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-01,51.011,2.775,"52.04, 51.4, 51.4, 51.55, 50.4, 50.4, 49.0, 49.69, 49.69, 49.69, 49.0, 50.12, 50.4, 51.4, 52.5, 52.98, 52.98, 54.66, 55.8, 56.519999999999996, 55.8, 55.16, 55.16, 54.4, 53.4, 52.4, 52.04, 52.04, 50.04, 50.04, 49.69, 47.6, 49.6, 49.69, 50.4, 50.4, 50.12, 49.0, 47.72, 47.69, 47.72, 47.69, 46.36, 46.69, 46.69, 48.04, 50.4, 53.16, 54.14, 57.2, 54.8, 55.16, 54.04, 53.88, 53.0, 50.92, 50.6, 48.51, 48.34, 48.69, 46.6, 46.04"
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-02,53.491,6.367,"47.6, 47.69, 47.04, 46.04, 46.04, 46.6, 45.55, 45.8, 52.38, 56.44, 56.44, 58.2, 62.75, 62.519999999999996, 62.58, 64.82, 61.05, 61.05, 59.19, 57.27, 55.4, 51.6, 52.77, 49.92, 49.92, 48.84, 47.76, 45.04, 45.69, 45.46, 47.9, 48.93, 52.94, 49.92, 51.84, 56.8, 62.04, 66.4, 63.86, 62.2, 61.96, 59.2, 58.32, 57.0, 56.27, 52.6, 49.76, 47.46, 48.15, 49.95, 45.08"
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-03,53.674,4.619,"48.08, 46.22, 46.22, 46.16, 46.16, 45.36, 46.16, 48.93, 46.86, 55.71, 58.68, 58.68, 59.06, 58.45, 58.92, 58.8, 58.45, 57.4, 57.4, 56.88, 57.92, 55.88, 54.54, 55.57, 54.54, 54.88, 54.54, 54.88, 54.57, 54.57, 54.54, 54.54, 54.57, 53.88, 48.7, 48.82, 47.82, 45.32, 46.04, 47.93, 45.9, 50.15, 55.95, 60.26, 63.2, 60.519999999999996, 57.83, 58.45, 58.8, 58.0, 55.48, 55.26, 53.2, 54.06, 54.06, 54.2, 53.2, 53.2, 53.24, 53.26, 53.26"
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-04,53.011,1.428,"54.04, 54.04, 53.4, 53.4, 53.4, 53.0, 53.0, 53.0, 52.4, 52.4, 53.55, 53.55, 53.98, 54.1, 54.98, 54.5, 55.16, 55.16, 55.16, 53.98, 52.98, 53.98, 53.98, 53.4, 53.4, 53.24, 53.24, 53.48, 53.24, 55.24, 54.54, 54.51, 54.51, 53.4, 52.5, 53.24, 52.26, 51.28, 51.28, 50.28, 51.54, 50.28, 50.24, 49.51, 49.34, 49.6, 49.92, 51.4, 53.55, 53.55, 54.1, 53.98, 54.1, 53.98, 53.4, 54.04, 53.4, 53.4, 53.4, 53.57, 53.06, 53.06, 53.06, 53.06, 53.07, 53.24, 53.48, 52.54, 51.92, 50.4, 50.4"
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-05,52.065,4.588,"51.65, 51.65, 50.16, 49.87, 51.16, 51.28, 49.76, 49.6, 49.15, 48.84, 50.92, 52.92, 55.08, 56.8, 59.58, 60.15, 60.6, 60.8, 60.8, 58.91, 55.84, 53.13, 51.96, 47.2, 47.2, 47.62, 47.9, 50.65, 50.65, 50.65, 50.65, 50.28, 48.0, 47.34, 46.22, 45.15, 45.08, 48.08, 52.71, 56.6, 57.12, 58.3, 58.8, 59.0, 58.2, 55.2, 52.13, 51.13, 50.08, 47.9, 45.48, 45.62, 47.9"
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-06,49.850,5.140,"47.75, 49.05, 47.9, 46.9, 46.9, 49.08, 46.76, 45.76, 45.4, 46.64, 50.92, 50.92, 55.45, 55.64, 59.53, 57.16, 56.95, 57.77, 57.77, 53.6, 52.5, 50.77, 48.84, 48.68, 46.01, 46.01, 45.0, 44.22, 45.62, 45.76, 43.66, 43.66, 44.79, 43.66, 44.79, 45.53, 50.6, 56.84, 60.2, 62.68, 54.68, 55.8, 55.95, 53.4, 52.76, 49.87, 47.7, 46.34, 45.34, 45.15, 44.32, 43.22"
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-07,55.472,10.263,"43.16, 42.22, 43.16, 41.36, 41.36, 41.57, 42.32, 43.48, 43.16, 51.93, 56.66, 56.66, 62.39, 67.2, 69.01, 74.14, 74.25, 74.25, 73.0, 73.0, 61.2, 60.68, 57.83, 54.41, 54.4, 51.41, 51.41, 52.6, 49.34, 45.2, 45.15, 46.4, 46.4, 44.4, 42.4, 43.31, 49.16, 60.26, 63.04, 66.64, 69.55, 71.64, 65.07, 64.04, 64.01, 62.39, 58.16, 54.94, 56.08, 56.1, 54.22, 52.94, 50.97"
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-08,56.416,8.266,"48.34, 47.22, 46.46, 46.0, 46.0, 44.22, 45.36, 45.16, 50.15, 54.45, 61.75, 61.75, 66.2, 67.2, 69.26, 65.14, 66.44, 68.0, 68.0, 61.72, 59.0, 58.2, 55.16, 53.41, 51.41, 51.41, 52.49, 50.6, 48.92, 48.92, 46.1, 46.1, 47.2, 46.2, 46.2, 48.93, 58.1, 64.2, 66.32, 65.07, 66.14, 68.8, 68.14, 70.38, 64.54, 59.93, 60.36, 60.22, 58.43, 56.48, 53.22, 54.25"
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-09,56.924,7.295,"49.8, 50.92, 49.77, 48.08, 48.08, 48.2, 46.04, 47.2, 52.1, 56.65, 62.92, 62.92, 68.43, 61.0, 60.96, 60.96, 62.58, 64.6, 64.6, 62.86, 58.38, 58.38, 56.16, 54.32, 53.38, 53.38, 50.77, 49.87, 54.25, 51.36, 53.25, 52.36, 52.36, 54.55, 54.4, 53.22, 63.2, 70.04, 74.57, 74.4, 68.7, 68.43, 66.4, 61.58, 56.94, 56.32, 53.38, 51.6, 51.71, 48.08, 48.7"
CARLSBAD MCCLELLAN PALOMAR AIRPORT CA US,2007-01-10,53.101,4.220,"47.08, 47.22, 46.84, 46.36, 46.36, 47.08, 46.46, 47.95, 48.95, 51.01, 54.49, 54.49, 55.519999999999996, 57.27, 58.08, 57.0, 56.4, 57.92, 57.92, 57.6, 57.6, 56.54, 56.54, 56.51, 56.54, 55.48, 55.48, 55.48, 55.26, 55.26, 55.24, 55.26, 53.48, 47.95, 47.95, 47.7, 47.13, 46.13, 50.92, 46.04, 49.0, 51.56, 53.45, 58.84, 59.84, 59.38, 60.35, 56.2, 56.57, 55.57, 54.51, 53.48, 52.51, 53.26, 51.51, 51.28, 51.54, 50.51"
