STATION_NAME,YEAR,WEEK OF YEAR,MEAN,STDDEV,TEMPS
MONTEREY PENINSUL AIRPORT CA US,2008,04,47.505,3.346,"[48.36, 48.36, 47.6, 48.36, 47.6, 45.6, 45.13, 46.34, 45.13, 45.34, 44.36, 43.34, 42.57, 41.28, 42.34, 46.6, 48.34, 49.01, 50.01, 49.87, 50.01, 50.01, 50.28, 48.87, 47.16, 46.7, 47.16, 48.28, 46.28, 46.22, 46.28, 46.22, 46.28, 46.28, 46.28, 46.22, 46.22, 41.81, 40.72, 40.72, 40.72, 41.72, 43.16, 42.16, 42.16, 46.34, 47.87, 49.68, 49.01, 49.68, 50.01, 49.94, 49.87, 50.76, 50.92, 50.76, 50.22, 49.16, 50.22, 50.28, 49.12, 48.69, 50.4, 50.12, 50.4, 52.5, 53.4, 54.04, 53.92, 54.57]"
MONTEREY PENINSUL AIRPORT CA US,2008,05,48.771,5.110,"[53.24, 53.24, 53.24, 53.24, 53.24, 53.24, 53.48, 52.54, 52.54, 52.54, 52.54, 52.54, 53.57, 52.54, 51.92, 52.6, 51.92, 51.92, 51.92, 52.6, 51.92, 51.92, 51.54, 51.54, 51.92, 51.6, 51.54, 50.92, 49.6, 49.92, 50.4, 50.12, 49.55, 47.69, 49.69, 49.0, 49.69, 50.4, 50.55, 50.28, 50.22, 47.16, 49.12, 49.0, 50.65, 51.22, 51.28, 49.16, 50.22, 50.22, 49.94, 49.34, 48.65, 47.55, 49.12, 48.65, 47.55, 48.65, 48.65, 48.16, 48.65, 48.16, 47.55, 48.65, 48.7, 48.7, 48.65, 47.16, 47.16, 47.34, 46.22, 41.72, 39.63, 39.36, 40.36, 44.04, 48.01, 48.7, 50.0, 50.8, 50.76, 50.6, 50.01, 49.34, 49.34, 49.34, 45.16, 42.16, 41.95, 38.4, 37.9, 38.9, 39.0, 38.0, 38.0, 35.9, 37.0, 37.0, 38.7, 45.04, 49.92, 52.22, 52.230000000000004, 50.0, 50.82, 50.8, 49.92, 49.76, 49.34, 45.7, 44.16, 47.04, 45.69, 45.16, 45.72, 45.69, 45.16, 44.04, 45.72, 46.69, 46.69, 45.72, 44.6, 43.72, 44.69, 41.72, 43.69, 43.16, 44.16, 48.7, 50.22, 50.22, 50.16, 52.87, 51.8, 52.94, 52.28, 51.65, 51.65, 51.55, 50.65, 50.65, 50.65, 50.65, 49.7, 48.7, 49.7, 48.55, 49.12, 48.16, 47.16, 46.16, 44.69, 42.6, 41.63, 41.63, 40.6, 40.36, 39.63, 40.36, 38.63, 40.6, 46.7, 49.7, 52.01, 52.6, 55.5, 53.8, 52.66, 52.66, 51.4, 51.4, 50.92, 50.92, 50.6, 49.92, 49.54, 49.51, 50.51, 49.54, 49.54, 45.6, 44.6, 43.63, 43.34, 42.34, 41.36, 41.36, 40.36, 43.28, 47.34, 50.4, 58.2, 59.8, 57.14, 54.1, 54.66, 54.8, 54.66, 52.66, 50.65, 50.16, 50.16, 48.16, 47.16, 49.92, 48.68, 46.36, 44.22, 44.22, 44.36, 45.16, 44.0, 46.86, 54.68, 61.2, 60.82, 62.96, 65.9, 66.96, 68.96, 58.32, 55.36, 54.14, 50.87, 50.16, 50.16, 53.76, 47.7, 46.7]"
MONTEREY PENINSUL AIRPORT CA US,2008,06,48.518,4.530,"[45.55, 44.16, 44.16, 44.16, 43.16, 43.16, 44.7, 44.7, 52.94, 56.94, 59.61, 58.14, 56.36, 56.8, 56.59, 57.36, 54.1, 51.0, 50.04, 49.0, 48.16, 47.72, 47.69, 47.6, 45.6, 45.04, 43.69, 44.69, 44.69, 44.69, 43.69, 46.69, 47.69, 50.65, 53.16, 53.8, 54.5, 53.0, 53.4, 51.92, 51.92, 51.92, 51.54, 51.6, 51.54, 51.6, 51.54, 50.92, 50.28, 50.24, 50.24, 49.22, 49.54, 48.22, 48.24, 48.28, 47.28, 46.34, 47.13, 47.13, 47.13, 47.28, 47.06, 46.28, 45.13, 45.13, 45.13, 43.26, 44.36, 44.28, 45.13, 45.13, 44.07, 44.07, 44.1, 44.07, 45.13, 44.28, 43.26, 44.07, 44.36, 44.07, 43.28, 43.63, 44.16, 47.16, 52.1, 52.8, 56.14, 61.0, 58.14, 53.4, 54.98, 53.4, 51.4, 51.92, 50.92, 51.54, 50.51, 50.51, 49.54, 49.54, 49.51, 49.34, 48.6, 47.34, 48.36, 49.54, 49.54, 48.24, 48.28, 48.24, 48.22, 49.54, 49.28, 50.24, 50.24, 50.24, 50.24, 49.54, 49.28, 49.54, 49.54, 50.24, 49.22, 50.24, 49.51, 49.54, 49.54, 49.51, 49.54, 49.51, 49.54, 49.51, 51.0, 51.4, 51.4, 51.4, 53.8, 52.8, 52.1, 53.16, 52.1, 51.98, 50.98, 50.4, 50.12, 48.16, 44.04, 52.04, 52.04, 49.82, 49.92, 49.92, 47.15, 47.1, 47.88, 48.26, 49.4, 51.36, 52.36, 56.94, 59.34, 57.48, 56.66, 58.0, 56.66, 55.95, 52.49, 50.01, 44.34, 44.34, 44.16, 43.16, 40.43, 40.71, 40.4, 39.4, 38.71, 36.7, 36.94, 36.82, 40.57, 50.1, 50.59, 53.5, 52.41, 54.68, 56.16, 54.41, 54.519999999999996, 52.66, 49.87, 48.16, 45.69, 46.69, 43.69, 40.72, 41.81, 40.72, 40.72, 41.96, 42.6, 42.57, 42.57, 42.3, 41.26, 41.26, 42.3, 44.34, 44.34, 42.34, 41.63, 43.72, 44.34, 44.36, 45.72, 47.16, 49.7, 50.16, 50.87, 52.01, 52.28, 51.65, 50.55, 49.0, 47.69, 46.04, 44.36, 44.6, 47.72, 47.72, 47.69, 48.36, 48.69, 49.69, 48.69]"
MONTEREY PENINSUL AIRPORT CA US,2008,07,49.614,2.631,"[48.69, 48.69, 48.04, 46.69, 46.69, 44.69, 45.72, 45.69, 45.6, 46.69, 49.12, 49.55, 49.55, 49.12, 50.65, 49.55, 51.65, 50.4, 49.55, 49.55, 48.16, 48.16, 48.16, 47.72, 47.69, 47.69, 47.69, 47.72, 47.69, 47.04, 47.04, 46.04, 46.04, 46.04, 46.04, 45.72, 46.04, 46.04, 46.16, 45.16, 46.16, 47.16, 48.55, 50.4, 51.16, 49.7, 50.22, 49.7, 49.16, 49.7, 49.16, 48.55, 48.55, 48.55, 48.16, 49.12, 48.16, 49.12, 48.16, 48.16, 48.16, 47.55, 47.55, 47.55, 46.6, 47.7, 47.55, 46.6, 46.65, 48.65, 47.55, 48.65, 48.65, 48.04, 49.12, 49.69, 49.69, 49.54, 52.92, 50.92, 50.92, 49.92, 51.54, 51.6, 54.04, 51.92, 51.92, 53.0, 51.92, 51.92, 50.92, 51.92, 51.92, 51.92, 51.92, 51.4, 51.6, 50.92, 50.92, 50.92, 50.92, 50.6, 51.54, 50.92, 50.92, 50.6, 50.51, 50.92, 51.54, 50.51, 51.54, 50.51, 51.54, 51.54, 51.54, 51.54, 51.51, 51.54, 52.6, 51.6, 51.54, 50.92, 50.6, 49.54, 49.51, 49.51, 50.92, 49.92, 49.54, 49.92, 50.92, 49.54, 49.69, 46.34, 46.36, 46.36, 49.92, 51.54, 51.4, 51.4, 52.98, 52.1, 53.36, 54.36, 54.6, 53.22, 53.519999999999996, 52.6, 51.65, 50.4, 50.04, 49.0, 49.69, 47.69, 46.69, 46.69, 45.6, 48.16, 49.0, 46.69, 46.69, 47.69, 47.7, 48.16, 49.7, 49.12, 49.69, 49.92, 49.92, 51.92, 54.4, 54.98, 54.4, 54.5, 50.92, 50.92, 50.92, 50.92, 51.6, 51.54, 50.51, 51.54, 51.54, 51.54, 50.51, 50.92, 49.92, 50.12, 50.4, 49.0, 49.69, 48.69, 49.12, 49.12, 49.69, 49.0, 48.04, 47.69, 48.34, 48.6, 49.69, 49.69, 49.69, 47.6, 48.36, 48.36, 49.54, 50.6, 53.92, 51.92, 53.0, 50.92, 49.54, 50.92, 50.6, 50.92, 50.92, 50.4, 50.4, 51.65, 50.4, 52.28, 50.65, 50.16, 50.65, 49.55, 48.04, 48.04, 49.69, 49.12, 47.69, 48.36, 46.36, 46.6, 47.72, 48.36, 46.6, 45.6, 45.69, 43.69, 41.63, 41.63, 40.6, 41.63, 43.69, 44.6, 46.6, 48.16, 53.2, 53.2, 60.09, 60.22, 57.8, 53.6, 51.76, 51.28, 50.55, 52.04, 51.55, 51.55, 52.1, 53.16, 52.5]"
MONTEREY PENINSUL AIRPORT CA US,2008,08,50.494,3.256,"[52.66, 52.5, 52.8, 52.8, 52.94, 52.94, 53.36, 53.16, 51.4, 51.4, 52.4, 51.4, 51.4, 51.92, 52.4, 51.92, 51.92, 53.4, 53.92, 53.4, 53.4, 52.92, 53.4, 53.4, 54.04, 53.92, 55.4, 54.4, 54.92, 53.4, 54.4, 53.4, 53.4, 54.4, 53.4, 53.4, 53.4, 52.4, 51.92, 51.92, 51.92, 51.6, 51.54, 51.51, 51.54, 51.54, 50.51, 50.6, 49.51, 51.54, 51.54, 50.51, 51.54, 51.54, 50.51, 51.54, 50.24, 49.51, 48.34, 47.13, 46.6, 47.13, 47.13, 47.13, 47.34, 49.28, 50.92, 52.98, 52.4, 53.16, 52.66, 53.66, 53.55, 52.98, 53.55, 52.04, 49.92, 48.69, 47.6, 47.69, 46.6, 45.6, 44.6, 44.6, 44.6, 43.63, 43.34, 41.36, 42.34, 45.34, 48.04, 53.66, 59.83, 61.54, 62.54, 64.45, 59.8, 58.14, 58.0, 56.32, 52.66, 52.1, 50.65, 50.65, 50.55, 50.65, 49.7, 47.16, 46.16, 45.16, 47.7, 45.7, 44.16, 48.55, 53.66, 51.92, 51.92, 52.54, 51.92, 53.48, 54.54, 55.98, 51.92, 54.04, 53.4, 51.92, 53.92, 54.04, 51.92, 55.4, 55.55, 54.98, 53.16, 51.98, 51.0, 50.04, 49.0, 48.69, 49.6, 49.69, 49.54, 49.6, 49.34, 49.69, 47.6, 48.36, 48.36, 47.34, 49.54, 49.54, 47.13, 47.13, 46.28, 47.13, 47.34, 47.13, 45.13, 47.13, 46.28, 47.13, 46.0, 45.13, 46.0, 47.11, 47.13, 48.36, 47.6, 48.36, 48.24, 48.24, 49.54, 49.6, 50.92, 50.6, 58.96, 54.4, 55.55, 55.55, 51.92, 51.92, 53.0, 51.92, 51.54, 50.51, 51.54, 51.54, 51.54, 50.51, 50.24, 50.28, 50.28, 49.54, 50.28, 50.24, 50.24, 50.24, 50.24, 50.28, 50.24, 50.28, 50.24, 50.24, 48.28, 48.24, 48.24, 48.1, 47.13, 47.13, 47.13, 47.13, 47.13, 47.11, 47.13, 47.13, 45.13, 47.13, 46.28, 45.13, 45.13, 45.28, 47.11, 45.13, 45.28, 45.13, 45.28, 46.1, 46.0, 46.0, 47.13, 47.28, 47.06, 49.34, 51.54, 51.54, 52.54, 52.92, 50.92, 51.92, 51.4, 51.92, 51.92, 55.55, 53.4, 53.0, 51.4, 51.92, 53.0, 50.92, 50.92, 49.92, 49.92, 50.92, 50.04, 50.04, 50.4, 50.04, 49.92, 49.6, 49.92, 50.6, 49.54, 49.69, 47.6, 48.69, 49.69, 49.69, 48.69, 49.69, 49.54, 49.54, 49.6, 49.54, 50.92, 50.92, 50.6, 50.92, 50.92, 50.92, 51.92, 51.4, 52.98, 54.1, 53.66, 53.36, 52.94, 52.94, 51.16, 50.65, 50.16, 49.55, 49.7, 49.7, 49.55, 49.12]"
MONTEREY PENINSUL AIRPORT CA US,2008,09,49.855,5.529,"[49.12, 47.16, 44.69, 43.63, 43.69, 41.63, 41.72, 46.04, 51.01, 54.94, 55.8, 55.84, 56.95, 58.92, 56.27, 56.4, 55.3, 53.36, 50.28, 50.59, 48.92, 48.68, 48.95, 45.15, 44.22, 43.64, 43.22, 42.22, 41.64, 42.22, 40.0, 46.36, 54.44, 56.32, 62.2, 62.04, 61.5, 60.24, 64.68, 59.1, 54.36, 54.38, 49.92, 48.15, 47.22, 46.34, 44.85, 48.0, 46.46, 43.34, 43.36, 42.7, 43.28, 43.16, 41.96, 43.16, 44.24, 42.04, 42.16, 41.96, 40.57, 42.57, 42.34, 44.28, 46.0, 47.13, 47.06, 49.6, 50.55, 51.98, 54.68, 55.32, 54.66, 56.14, 56.519999999999996, 54.14, 54.41, 51.8, 51.28, 49.7, 49.12, 48.04, 48.69, 46.69, 44.6, 42.6, 41.63, 41.63, 40.72, 41.63, 47.16, 52.8, 57.44, 57.44, 57.08, 56.94, 59.24, 57.14, 55.8, 54.41, 51.65, 50.04, 50.12, 49.12, 48.87, 49.15, 48.15, 46.01, 44.52, 43.85, 45.04, 42.69, 41.81, 44.69, 45.16, 49.55, 52.1, 56.94, 62.68, 61.54, 58.84, 56.36, 52.98, 53.66, 53.519999999999996, 53.76, 50.16, 49.16, 49.87, 51.28, 47.16, 47.34, 47.08, 44.85, 43.85, 42.7, 42.85, 46.01, 43.85, 48.16, 49.87, 54.59, 55.23, 60.05, 58.2, 57.8, 56.1, 55.8, 56.519999999999996, 55.519999999999996, 53.36, 52.8, 52.6, 52.1, 51.4, 51.4, 52.1, 50.4, 49.0, 47.04, 45.04, 44.04, 44.04, 41.96, 41.96, 43.72, 43.72, 44.04, 49.6, 49.54, 53.55, 53.98, 54.1, 54.5, 54.5, 53.4, 53.4, 54.5, 53.4, 53.4, 53.4, 53.0, 51.92, 51.6, 51.54, 51.6, 50.92, 50.92, 50.92, 50.92, 49.92, 50.04, 47.69, 46.69, 46.69, 46.69]"
MONTEREY PENINSUL AIRPORT CA US,2008,10,51.251,3.971,"[49.69, 49.54, 49.34, 49.54, 49.54, 49.54, 49.34, 46.34, 44.6, 44.34, 42.57, 42.34, 42.57, 42.6, 46.6, 51.98, 58.14, 59.83, 57.519999999999996, 56.36, 58.32, 57.1, 56.59, 55.66, 54.36, 53.16, 50.65, 49.87, 51.6, 49.87, 49.55, 48.16, 47.16, 45.55, 46.22, 45.8, 45.7, 46.22, 53.76, 58.05, 62.1, 58.32, 59.0, 58.519999999999996, 60.14, 56.36, 56.59, 55.16, 55.8, 57.519999999999996, 55.8, 54.66, 52.98, 51.92, 53.0, 52.04, 52.5, 51.0, 50.55, 48.04, 47.69, 46.69, 48.69, 50.4, 53.4, 51.92, 53.0, 53.4, 55.0, 53.4, 53.0, 54.92, 57.98, 57.36, 55.98, 54.92, 55.55, 56.1, 53.98, 51.4, 51.4, 52.5, 51.55, 50.4, 50.4, 50.04, 49.69, 49.69, 49.54, 50.92, 50.6, 50.92, 49.92, 50.04, 50.4, 50.04, 50.4, 49.0, 49.12, 47.04, 45.69, 45.69, 47.04, 50.4, 51.0, 51.98, 53.16, 54.1, 53.98, 54.36, 56.0, 56.0, 55.23, 53.66, 52.66, 51.98, 52.04, 51.0, 50.92, 51.0, 51.4, 50.92, 51.92, 51.92, 53.0, 53.4, 53.4, 56.4, 55.48, 54.54, 55.48, 54.54, 54.54, 55.57, 55.24, 55.48, 55.24, 56.57, 56.54, 56.54, 56.57, 54.54, 55.88, 53.88, 55.55, 53.4, 56.59, 56.8, 56.14, 55.23, 54.36, 51.55, 50.4, 51.0, 51.0, 51.4, 50.92, 50.92, 50.92, 50.92, 50.92, 50.92, 51.4, 52.04, 51.4, 51.92, 52.04, 50.92, 49.92, 49.69, 49.69, 49.69, 49.69, 49.69, 49.54, 49.6, 49.69, 48.6, 51.0, 51.28, 51.65, 51.65, 51.98, 52.87, 53.22, 53.66, 53.76, 55.519999999999996, 56.0, 54.36, 53.519999999999996, 52.28, 50.87, 50.28, 48.16, 47.55, 48.04, 48.04, 49.12, 48.04, 49.12, 47.69, 47.04, 44.6, 44.69, 43.63, 42.57, 41.96, 41.96, 42.57, 42.69, 42.6, 46.69, 43.16, 43.16, 46.04, 44.75, 46.04, 46.65, 48.28, 47.16, 50.01, 50.01, 50.6, 50.01, 50.28, 48.28, 48.16, 48.7, 48.55, 49.12, 48.7, 48.55, 48.55]"
MONTEREY PENINSUL AIRPORT CA US,2008,11,49.626,3.791,"[47.55, 47.55, 46.16, 46.6, 47.16, 47.16, 46.34, 48.84, 49.92, 51.77, 51.41, 51.6, 52.76, 52.6, 52.94, 51.8, 51.28, 50.16, 49.55, 48.55, 49.12, 46.16, 46.16, 43.08, 41.81, 41.81, 39.81, 40.16, 39.16, 39.75, 42.52, 48.0, 52.59, 53.8, 55.519999999999996, 55.23, 53.36, 54.36, 54.8, 54.519999999999996, 52.66, 50.55, 50.12, 50.12, 49.0, 49.69, 49.69, 49.69, 49.69, 49.69, 48.6, 49.69, 49.69, 49.54, 49.6, 49.54, 49.34, 48.6, 48.34, 46.36, 44.36, 44.36, 44.6, 43.72, 44.6, 45.69, 46.36, 47.28, 48.24, 48.24, 48.24, 49.54, 49.69, 51.4, 50.92, 50.92, 52.04, 51.4, 51.4, 51.4, 53.4, 53.4, 53.55, 53.4, 53.4, 53.4, 53.4, 54.5, 53.98, 52.98, 52.4, 52.04, 51.0, 51.0, 50.92, 49.92, 49.92, 49.92, 49.92, 49.92, 49.92, 50.04, 50.4, 50.04, 50.04, 50.04, 50.4, 50.4, 50.4, 51.98, 53.16, 52.98, 53.66, 53.16, 53.22, 53.66, 53.8, 52.66, 52.1, 51.65, 51.4, 51.4, 52.04, 51.4, 51.4, 51.4, 51.4, 49.69, 50.92, 49.54, 49.54, 49.54, 49.34, 48.36, 47.13, 48.24, 47.13, 48.28, 49.51, 49.54, 49.6, 49.69, 49.69, 48.04, 47.72, 46.69, 46.69, 46.69, 48.55, 49.87, 50.6, 51.41, 52.94, 52.94, 53.41, 53.76, 53.5, 51.6, 50.28, 48.7, 48.7, 48.7, 48.16, 47.16, 47.16, 44.04, 42.7, 40.78, 40.78, 39.81, 40.78, 41.81, 48.34, 51.41, 54.59, 52.41, 54.41, 54.41, 53.36, 53.76, 55.5, 53.76, 52.01, 49.7, 48.7, 48.7, 48.7, 45.16, 43.16, 44.16, 43.16, 44.16, 41.72, 40.72, 41.81, 43.16, 48.87, 52.28, 55.5, 56.14, 57.14, 57.32, 56.519999999999996, 58.0, 55.8, 52.98, 52.8, 52.01, 50.12, 49.12, 48.7, 48.16, 47.69]"
MONTEREY PENINSUL AIRPORT CA US,2008,12,49.695,3.416,"[48.36, 48.36, 47.6, 46.36, 45.6, 46.36, 46.36, 46.36, 46.36, 46.36, 46.36, 46.34, 46.36, 47.13, 47.34, 46.36, 48.28, 46.28, 47.13, 46.28, 47.06, 48.07, 49.06, 49.06, 50.24, 49.54, 49.51, 56.1, 51.98, 53.8, 54.8, 54.36, 56.2, 56.27, 54.59, 54.59, 52.01, 50.28, 50.28, 49.55, 47.16, 44.16, 43.72, 47.72, 48.69, 49.34, 49.34, 48.28, 47.13, 45.28, 44.36, 44.36, 45.13, 45.13, 44.28, 45.13, 43.26, 44.07, 44.1, 49.55, 48.69, 49.69, 51.55, 51.65, 51.4, 51.65, 52.4, 53.55, 56.36, 57.519999999999996, 56.36, 57.36, 54.66, 53.55, 53.0, 52.04, 50.92, 50.92, 50.92, 50.92, 50.6, 49.54, 49.54, 49.54, 49.51, 49.54, 49.6, 49.54, 48.6, 49.54, 50.51, 50.28, 50.24, 49.54, 49.22, 49.54, 48.24, 48.24, 48.24, 49.22, 50.24, 50.24, 51.06, 50.24, 50.24, 50.22, 54.98, 55.98, 57.45, 57.8, 55.98, 56.59, 54.4, 54.92, 54.98, 53.98, 54.1, 53.16, 50.4, 50.55, 50.04, 50.55, 49.7, 48.55, 47.16, 47.04, 46.16, 45.72, 45.72, 47.6, 48.69, 47.72, 46.69, 48.69, 49.69, 50.12, 50.87, 52.28, 53.16, 53.36, 55.4, 56.32, 55.38, 53.4, 52.77, 51.77, 50.65, 50.55, 50.55, 49.7, 49.0, 48.69, 48.04, 47.55, 47.34, 46.01, 46.01, 41.85, 41.28, 45.34, 48.15, 48.0, 48.92, 50.59, 50.59, 50.92, 49.87, 49.76, 49.59, 48.95, 46.34, 45.8, 45.8, 44.7, 44.6, 45.16, 44.6, 44.16, 43.7, 43.28, 42.85, 40.16, 44.24, 47.55, 48.87, 50.01, 51.41, 52.41, 54.16, 56.32, 58.65, 55.5, 52.76, 51.8, 50.4, 50.92, 51.0, 51.6, 51.54, 51.54, 51.54, 51.54, 51.51, 51.54, 52.24, 51.51, 52.51, 52.54, 52.54, 52.54, 52.51, 52.54, 52.54, 52.51, 52.54, 52.54, 52.51, 52.24, 51.54, 51.28, 51.54, 51.28, 51.28, 51.54, 51.54, 50.28, 49.54, 49.54, 50.24, 49.28, 49.54, 49.92, 49.0, 50.65, 49.7, 49.87, 49.6, 50.92, 49.76, 50.59, 48.84, 47.08, 45.46, 45.34, 44.9, 44.9, 44.9, 45.34, 46.52, 46.34, 46.34, 46.28, 46.28, 46.34]"
MONTEREY PENINSUL AIRPORT CA US,2008,13,49.199,3.463,"[46.34, 46.22, 46.22, 46.22, 46.22, 46.28, 46.22, 46.28, 46.22, 47.16, 47.34, 47.94, 47.87, 47.87, 48.01, 49.76, 49.68, 49.92, 49.59, 48.92, 48.0, 47.0, 48.22, 46.01, 46.52, 46.01, 46.22, 46.52, 46.01, 44.9, 45.46, 45.46, 44.9, 45.46, 45.08, 43.34, 43.36, 43.36, 43.36, 42.85, 43.85, 40.16, 41.7, 40.75, 41.7, 43.34, 46.46, 46.22, 47.76, 48.84, 49.92, 49.76, 51.59, 53.6, 53.4, 53.2, 52.41, 49.87, 47.34, 46.34, 45.8, 44.85, 45.8, 46.34, 46.22, 44.24, 44.6, 43.55, 43.16, 43.16, 45.04, 50.16, 50.87, 53.519999999999996, 53.519999999999996, 54.14, 54.41, 54.59, 54.41, 52.6, 51.8, 50.28, 48.7, 48.7, 46.16, 45.04, 44.04, 45.04, 43.08, 44.69, 44.04, 45.04, 45.04, 44.69, 47.04, 49.12, 50.55, 52.66, 50.04, 50.04, 51.4, 52.04, 50.92, 50.92, 51.54, 51.92, 51.92, 51.92, 52.54, 53.57, 52.92, 53.57, 51.92, 52.6, 51.92, 52.92, 53.57, 52.51, 52.54, 52.54, 52.51, 52.51, 51.6, 51.54, 51.54, 51.51, 51.54, 51.54, 51.6, 52.6, 52.6, 51.54, 51.6, 52.6, 54.04, 55.0, 55.98, 56.59, 56.59, 56.1, 57.66, 55.98, 54.92, 55.8, 54.41, 52.76, 50.87, 50.28, 49.01, 49.34, 48.7, 49.0, 46.69, 45.69, 49.69, 49.69, 48.6, 48.6, 49.69, 49.69, 48.6, 48.6, 49.69, 48.6, 52.5, 55.16, 51.4, 51.4, 51.98, 52.1, 52.66, 52.66, 52.8, 51.8, 50.87, 50.16, 48.55, 48.7, 47.55, 47.55, 47.55, 47.7, 48.16, 48.7, 48.7, 49.12, 48.55, 48.7, 48.28, 47.7, 47.34, 48.34, 48.87, 49.6, 50.6, 50.6, 51.01, 51.01, 52.01, 52.01, 52.01, 52.01, 49.87, 49.34, 47.7, 47.55, 47.55, 47.55, 46.6, 46.6]"
