STATION_NAME,YEAR,WEEK OF YEAR,MEAN,STDDEV,TEMPS
STOCKTON METROPOLITAN AIRPORT CA US,2008,00,43.304,6.386,"[34.0, 34.0, 34.0, 34.0, 33.07, 32.0, 36.0, 40.07, 43.26, 44.34, 44.36, 46.04, 48.16, 49.34, 49.34, 46.16, 41.63, 41.0, 39.0, 38.07, 38.07, 38.07, 38.07, 38.0, 37.0, 36.0, 37.0, 35.07, 35.0, 35.0, 36.0, 34.0, 33.0, 33.07, 32.0, 30.0, 29.0, 29.07, 29.07, 29.0, 28.0, 28.0, 32.0, 33.0, 37.0, 40.07, 41.0, 41.0, 46.04, 47.55, 49.16, 51.59, 51.28, 50.28, 50.28, 45.55, 44.69, 41.36, 39.28, 37.36, 36.28, 37.28, 36.11, 38.07, 38.11, 38.11, 38.07, 38.07, 39.28, 39.11, 39.36, 39.36, 40.36, 43.08, 45.16, 46.16, 46.04, 47.69, 49.55, 49.0, 48.1, 48.1, 48.34, 48.28, 48.22, 48.22, 48.22, 48.22, 48.28, 48.6, 49.55, 49.7, 50.16, 50.16, 49.87, 49.87, 49.7, 48.16, 48.16, 48.34, 48.34, 49.28, 50.24, 50.22, 52.24, 51.22, 53.2, 54.06, 54.06, 51.06, 51.06, 51.07, 50.24, 50.08, 51.06, 49.04, 49.07, 48.22, 49.07, 48.22, 48.34, 48.34, 47.04, 45.04, 43.69, 45.16, 41.63, 42.3, 42.3, 40.11, 39.07, 39.0, 42.3, 46.6, 48.34, 48.34, 48.6, 49.69, 49.54, 48.51, 48.24, 48.22, 46.0, 46.0, 45.07, 45.07, 45.07, 44.1, 42.11, 41.08, 42.07, 43.11, 44.0, 44.0, 44.07, 44.07, 45.13, 45.28]"
STOCKTON METROPOLITAN AIRPORT CA US,2008,01,46.215,3.079,"[45.13, 45.11, 45.13, 44.07, 43.11, 42.3, 40.07, 40.07, 41.11, 39.07, 41.08, 40.07, 42.07, 45.11, 45.11, 47.6, 49.12, 50.28, 49.01, 48.16, 47.16, 47.16, 46.6, 44.69, 44.69, 44.34, 44.1, 44.28, 44.28, 44.07, 44.07, 44.34, 44.1, 43.07, 42.07, 42.07, 42.0, 41.0, 39.0, 39.0, 40.0, 40.0, 44.1, 46.69, 46.69, 47.7, 48.01, 47.87, 49.15, 48.84, 48.15, 48.15, 45.8, 43.16, 40.72, 39.72, 37.28, 38.63, 38.63, 38.28, 38.28, 40.36, 40.36, 40.11, 40.3, 40.3, 41.11, 41.11, 40.3, 40.3, 42.04, 43.16, 43.16, 44.24, 44.6, 44.34, 46.6, 46.69, 47.13, 47.13, 46.28, 46.28, 47.11, 46.0, 46.0, 47.11, 47.11, 46.28, 46.28, 46.28, 45.11, 45.07, 46.0, 45.07, 46.0, 45.07, 46.07, 46.07, 46.07, 45.0, 44.07, 42.07, 41.0, 38.07, 39.0, 42.07, 43.0, 44.07, 45.0, 45.0, 46.07, 46.07, 46.0, 47.0, 47.0, 47.07, 47.06, 47.07, 47.06, 47.06, 48.1, 47.06, 48.1, 47.06, 47.07, 47.11, 46.0, 46.07, 46.07, 46.07, 46.0, 46.07, 46.07, 46.0, 46.0, 46.07, 46.0, 46.0, 46.0, 46.07, 46.0, 46.07, 46.0, 46.0, 46.07, 46.0, 46.0, 47.0, 47.0, 46.07, 46.0, 46.07, 46.07, 46.0, 46.07, 47.06, 47.07, 48.1, 48.1, 47.06, 48.24, 49.11, 49.06, 49.07, 49.06, 49.06, 49.06, 49.11, 49.06, 49.54, 50.24, 49.28, 49.54, 49.51, 49.51, 49.51, 49.28, 49.28, 49.22, 49.11, 48.1, 46.0, 46.07, 46.07, 47.0, 47.07, 47.06, 47.06, 47.07, 47.06, 47.06, 47.06, 47.06, 47.0, 47.06, 48.0, 47.06, 47.06, 48.0, 48.0, 48.0, 48.03, 48.0, 48.03, 48.0, 49.07, 49.06, 49.11, 49.11, 49.22, 50.24, 50.24, 49.22, 49.11, 49.11, 49.54, 49.28, 49.28, 49.28, 48.28, 49.11, 48.28, 48.28, 48.34, 48.28, 48.28, 48.34, 48.1, 48.1, 48.1, 47.07, 47.07, 47.11, 47.28, 47.34, 47.13, 46.07, 48.1, 48.34, 50.04, 50.55, 51.65, 51.65, 51.55, 51.4, 51.65, 52.5, 53.55, 52.98, 51.4, 52.5, 49.92, 47.28, 46.28, 46.1, 46.1, 46.0, 47.11, 47.11, 48.1, 48.1]"
STOCKTON METROPOLITAN AIRPORT CA US,2008,02,41.551,6.773,"[48.1, 49.11, 48.28, 48.1, 48.1, 48.1, 47.07, 47.0, 47.0, 48.1, 49.11, 49.11, 49.54, 49.51, 50.04, 51.0, 51.98, 51.65, 51.55, 51.98, 51.98, 51.12, 48.34, 45.28, 45.11, 43.07, 43.07, 43.07, 41.08, 41.08, 40.07, 39.07, 40.0, 39.0, 39.0, 37.0, 38.0, 37.0, 37.0, 36.0, 37.0, 37.0, 37.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 39.0, 44.1, 44.1, 48.34, 49.92, 50.28, 49.28, 50.24, 49.54, 49.51, 50.51, 50.51, 49.22, 49.11, 46.07, 45.11, 43.07, 42.07, 43.0, 42.07, 40.0, 41.0, 45.0, 45.0, 45.0, 45.0, 45.0, 46.0, 46.0, 47.28, 48.55, 48.55, 47.69, 44.1, 43.11, 41.11, 42.34, 42.22, 39.52, 35.42, 37.4, 36.32, 35.28, 33.81, 33.81, 33.44, 35.4, 33.81, 35.4, 36.32, 39.52, 39.52, 43.5, 45.32, 46.9, 48.93, 49.92, 49.93, 49.93, 45.86, 43.64, 41.7, 38.81, 36.72, 34.28, 34.28, 34.28, 34.11, 31.08, 31.15, 30.36, 31.44, 31.44, 30.36, 29.15, 29.15, 30.15, 33.72, 37.28, 37.28, 41.64, 44.22, 46.16, 47.16, 47.77, 47.77, 46.86, 43.64, 40.85, 39.28, 38.81, 37.81, 37.81, 35.36, 34.28, 32.11, 33.11, 32.11, 31.08, 31.08, 32.08, 31.08, 32.0, 30.08, 37.11, 40.6, 45.8, 48.68, 49.77, 51.6, 53.38, 52.6, 52.6, 50.92, 45.7, 43.16, 41.72, 39.36, 40.57, 40.57, 38.28, 38.28, 39.11, 35.07, 35.0, 34.07, 34.07, 34.07, 34.07, 34.07, 31.07, 32.0, 32.26, 29.07, 30.08, 29.07, 33.0, 33.07, 33.07, 37.11, 41.63, 46.6, 49.87, 51.76, 53.41, 54.2, 53.41, 53.41, 50.87, 47.55, 45.04, 43.69, 40.11, 40.3, 40.3, 38.11, 38.13, 38.11]"
STOCKTON METROPOLITAN AIRPORT CA US,2008,03,44.033,4.314,"[38.13, 39.11, 37.0, 38.13, 38.11, 33.07, 34.0, 36.0, 36.0, 36.0, 36.0, 35.0, 35.07, 38.07, 38.11, 36.0, 35.07, 37.0, 40.11, 41.26, 42.57, 45.72, 45.72, 46.04, 46.04, 48.65, 49.16, 48.28, 50.01, 50.6, 49.76, 49.92, 48.01, 48.01, 47.34, 45.55, 43.08, 41.63, 40.6, 40.36, 40.36, 38.28, 38.11, 37.11, 36.11, 36.11, 37.11, 37.11, 39.28, 40.3, 40.11, 40.11, 41.36, 44.6, 44.6, 46.22, 46.22, 48.34, 47.34, 47.34, 47.46, 47.46, 45.8, 44.24, 42.69, 44.69, 44.1, 44.1, 44.1, 43.07, 43.07, 43.07, 43.07, 43.07, 44.07, 44.07, 43.0, 43.0, 43.11, 43.07, 44.07, 43.07, 43.11, 43.07, 44.1, 44.1, 45.28, 48.34, 48.69, 47.6, 46.0, 46.0, 46.07, 46.07, 46.0, 46.0, 45.07, 44.07, 44.07, 44.07, 44.07, 44.07, 44.07, 45.0, 45.07, 44.07, 44.07, 44.0, 44.0, 44.07, 44.07, 44.07, 44.0, 44.07, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 42.07, 42.07, 42.07, 42.07, 42.0, 42.07, 42.07, 42.0, 42.0, 41.0, 42.0, 41.0, 42.07, 42.07, 42.07, 42.0, 42.07, 42.07, 42.0, 42.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 44.07, 44.0, 44.07, 44.07, 44.07, 44.0, 44.07, 44.07, 44.07, 44.07, 44.07, 44.07, 44.07, 45.0, 45.0, 45.0, 45.0, 44.07, 44.0, 44.07, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 42.07, 42.07, 43.0, 43.0, 43.0, 43.0, 42.07, 42.07, 42.07, 38.07, 38.07, 38.07, 38.07, 38.07, 38.07, 38.11, 38.13, 38.07, 38.07, 38.07, 39.07, 38.07, 38.07, 39.26, 40.11, 39.26, 39.26, 41.11, 41.26, 41.28, 41.28, 42.57, 42.57, 41.28, 42.57, 44.04, 43.72, 44.7, 44.6, 44.04, 44.04, 44.34, 43.63, 42.57, 42.3, 43.11, 44.07, 44.07, 44.1, 43.28, 43.26, 43.28, 43.28, 43.26, 43.34, 43.63, 43.63, 43.63, 44.69, 45.16, 45.16, 45.04, 44.69, 45.55, 46.7, 48.87, 50.01, 50.01, 52.01, 51.8, 52.6, 52.28, 53.16, 52.4, 52.4, 51.28, 50.92, 50.51, 52.5, 52.66, 52.1, 52.1, 51.65, 50.12, 49.55, 49.7, 49.7, 48.55, 48.55, 47.55, 46.6, 44.69, 45.04, 47.16, 48.55, 48.55, 51.16, 54.41, 56.0, 58.27, 58.05, 56.94, 56.94, 53.36, 52.6, 49.7, 48.55, 48.69, 49.69, 49.69, 48.34, 48.69]"
STOCKTON METROPOLITAN AIRPORT CA US,2008,04,43.027,4.366,"[48.1, 48.1, 48.22, 48.24, 47.06, 48.22, 48.22, 50.08, 48.22, 50.28, 49.22, 50.22, 51.51, 51.51, 51.6, 53.0, 51.92, 52.07, 51.22, 50.28, 49.51, 49.92, 49.6, 50.4, 49.92, 48.51, 48.51, 47.13, 44.34, 42.69, 41.72, 40.78, 38.63, 40.72, 40.72, 40.3, 40.11, 39.28, 39.11, 42.34, 43.08, 43.08, 45.46, 45.08, 46.46, 46.84, 47.16, 46.84, 46.84, 45.08, 43.34, 42.85, 38.72, 40.16, 39.72, 39.72, 38.34, 36.28, 36.28, 34.07, 34.07, 33.08, 33.08, 32.08, 34.07, 35.11, 35.28, 37.42, 38.81, 38.81, 40.78, 41.16, 43.7, 43.7, 43.7, 43.7, 43.7, 43.34, 43.28, 44.07, 44.1, 44.07, 42.07, 42.07, 42.07, 42.07, 41.0, 41.0, 39.07, 37.0, 36.11, 37.07, 39.11, 39.07, 39.07, 39.11, 38.11, 36.07, 38.11, 41.28, 43.08, 43.08, 45.8, 46.01, 47.16, 48.13, 47.77, 48.0, 48.0, 46.84, 42.7, 42.16, 42.69, 41.36, 40.11, 40.11, 40.11, 40.3, 41.11, 40.3, 41.11, 41.11, 41.11, 41.11, 41.11, 41.28, 41.72, 42.6, 45.16, 45.16, 46.7, 48.34, 47.34, 46.22, 46.16, 45.69, 45.69, 45.34, 45.34, 45.34, 45.69, 45.6, 45.13, 46.1, 46.1, 46.0, 46.0, 46.0, 46.0, 47.0, 46.0, 46.0, 46.0, 46.0, 43.0, 42.07, 41.0, 38.0, 38.0, 39.0, 37.0, 38.07, 38.07, 38.0, 36.0, 34.0, 36.0, 41.11, 44.04, 44.04, 45.16, 46.6, 48.46, 48.46, 47.16, 46.7, 46.7, 46.7, 44.04, 42.69, 41.96, 42.69, 41.63, 40.6, 40.6, 39.11, 38.11, 37.11, 37.11, 35.07, 37.36, 37.36, 37.28, 36.11, 36.28, 37.28, 39.28, 42.3, 42.3, 43.63, 45.16, 44.7, 44.7, 45.7, 45.16, 45.16, 44.04, 44.04, 44.24, 43.63, 43.63, 43.63, 43.63, 44.34, 44.07, 44.07, 44.1]"
STOCKTON METROPOLITAN AIRPORT CA US,2008,05,44.053,6.189,"[44.07, 44.07, 44.1, 44.07, 44.07, 43.07, 44.07, 44.07, 43.07, 44.07, 44.07, 44.07, 44.07, 44.07, 44.07, 44.07, 44.07, 45.0, 45.13, 45.04, 44.69, 46.69, 48.04, 48.04, 48.7, 50.28, 49.34, 50.28, 49.87, 48.87, 48.87, 48.16, 45.55, 44.04, 43.69, 42.69, 41.63, 41.63, 42.69, 41.63, 39.28, 38.28, 39.36, 40.28, 40.28, 38.72, 37.69, 36.34, 37.69, 40.28, 43.34, 43.34, 45.08, 48.08, 48.95, 49.8, 50.82, 49.8, 49.8, 48.13, 45.0, 44.36, 43.22, 40.85, 38.81, 38.81, 39.16, 37.69, 37.81, 37.2, 35.81, 34.42, 34.42, 32.36, 32.11, 31.12, 33.11, 38.2, 40.75, 40.75, 43.46, 44.34, 47.22, 47.76, 48.92, 49.95, 49.95, 48.68, 46.01, 43.46, 41.28, 40.28, 38.81, 38.81, 36.34, 37.42, 35.28, 36.28, 36.28, 35.28, 35.28, 35.11, 35.28, 36.13, 35.28, 37.38, 37.28, 41.63, 47.04, 47.04, 50.55, 52.5, 52.98, 52.98, 54.59, 54.66, 53.8, 53.519999999999996, 53.519999999999996, 52.1, 49.12, 47.04, 45.6, 43.28, 43.28, 43.28, 42.11, 39.07, 38.07, 39.07, 37.0, 36.0, 36.0, 36.0, 36.0, 36.0, 35.07, 38.07, 39.0, 40.07, 41.0, 47.6, 49.0, 52.28, 52.8, 54.41, 56.0, 57.2, 56.14, 51.28, 51.12, 49.92, 48.34, 46.28, 46.28, 44.1, 44.07, 43.07, 42.07, 40.0, 40.07, 38.07, 39.0, 39.0, 39.0, 38.07, 38.07, 34.0, 37.0, 37.0, 38.07, 41.08, 46.6, 46.6, 49.12, 51.16, 53.519999999999996, 56.2, 55.4, 57.19, 56.32, 51.59, 48.16, 45.04, 43.08, 43.69, 43.69, 41.36, 40.36, 39.28, 39.28, 39.07, 37.07, 38.0, 37.0, 38.0, 40.07, 43.63, 46.6, 46.6, 51.28, 52.6, 56.2, 57.2, 58.05, 59.84, 57.0, 52.8, 51.16, 48.55, 49.12, 45.6, 45.6, 45.34, 43.28]"
STOCKTON METROPOLITAN AIRPORT CA US,2008,06,47.071,7.315,"[41.11, 40.07, 40.07, 38.07, 40.07, 40.07, 40.07, 39.07, 39.0, 39.0, 38.07, 38.07, 38.07, 38.07, 39.0, 45.0, 46.0, 49.34, 49.34, 51.4, 54.98, 58.2, 60.14, 61.0, 61.0, 59.36, 55.16, 52.4, 49.69, 46.34, 46.28, 46.28, 45.07, 44.07, 43.07, 42.07, 42.07, 43.0, 44.0, 39.0, 39.0, 42.07, 42.0, 41.0, 40.0, 40.07, 40.07, 42.07, 42.0, 42.07, 39.0, 40.0, 44.07, 49.51, 49.51, 53.98, 55.8, 58.96, 59.9, 62.83, 62.54, 62.54, 60.61, 55.8, 50.4, 51.55, 46.6, 47.6, 47.6, 46.28, 46.1, 46.1, 46.1, 43.07, 43.07, 43.07, 44.07, 44.07, 42.07, 44.07, 43.0, 42.07, 42.07, 41.0, 42.07, 41.0, 42.07, 49.22, 52.6, 52.6, 52.54, 56.5, 58.2, 60.96, 63.61, 64.28, 63.36, 63.36, 61.7, 56.98, 55.0, 50.51, 51.6, 48.34, 48.22, 45.07, 43.07, 46.0, 44.07, 45.0, 44.07, 42.07, 44.07, 43.07, 43.07, 44.07, 44.0, 44.07, 42.07, 43.0, 42.07, 42.0, 44.0, 44.07, 48.1, 48.24, 51.54, 50.51, 50.24, 50.24, 48.24, 51.54, 51.6, 51.54, 51.54, 54.98, 57.19, 56.8, 57.8, 57.1, 57.1, 55.08, 52.230000000000004, 50.1, 49.36, 49.92, 48.78, 48.78, 48.78, 47.88, 46.62, 44.7, 42.67, 41.49, 41.49, 40.58, 38.56, 38.85, 39.57, 43.48, 48.26, 48.26, 51.28, 54.1, 53.97, 55.22, 55.22, 54.25, 53.08, 50.15, 48.82, 48.93, 45.16, 43.36, 44.32, 41.57, 38.52, 38.0, 38.0, 35.4, 34.32, 30.75, 29.36, 34.9, 40.75, 45.36, 45.36, 50.0, 51.71, 52.56, 54.94, 56.95, 57.8, 57.8, 56.66, 52.71, 46.22, 44.64, 41.85, 40.16, 40.16, 39.16, 37.69, 39.81, 36.72, 37.81, 35.72, 35.72, 34.36, 34.36, 33.36, 37.42, 42.7, 45.46, 45.46, 49.59, 53.38, 56.44, 58.24, 58.45, 58.24, 58.24, 56.32, 50.59, 48.84, 47.22, 46.01, 43.7, 43.7, 42.28, 41.16]"
STOCKTON METROPOLITAN AIRPORT CA US,2008,07,47.537,4.678,"[37.69, 36.42, 36.72, 34.36, 34.36, 35.07, 35.07, 34.28, 38.11, 43.08, 48.16, 48.16, 51.16, 54.519999999999996, 56.0, 58.05, 58.84, 58.84, 59.2, 54.2, 53.41, 49.16, 46.7, 45.6, 45.6, 46.34, 43.11, 44.1, 44.1, 43.0, 43.0, 43.0, 42.0, 40.07, 42.0, 40.07, 38.07, 39.0, 46.0, 46.0, 46.0, 49.34, 49.34, 51.0, 52.98, 56.8, 57.36, 57.519999999999996, 57.519999999999996, 57.519999999999996, 54.66, 52.98, 51.0, 48.69, 47.6, 46.6, 46.6, 45.28, 44.1, 43.07, 43.07, 41.0, 41.08, 41.08, 41.08, 40.0, 40.07, 42.07, 46.6, 47.69, 47.69, 49.12, 50.12, 50.4, 49.6, 49.54, 50.24, 50.28, 50.24, 51.54, 51.22, 51.51, 51.51, 51.54, 50.24, 50.28, 50.22, 51.06, 50.08, 50.24, 50.24, 50.08, 50.24, 49.07, 49.04, 49.04, 49.06, 49.06, 50.04, 51.06, 51.06, 50.24, 49.04, 49.06, 49.04, 49.06, 49.06, 49.04, 49.06, 49.06, 49.06, 49.06, 49.04, 49.06, 48.0, 48.0, 48.0, 48.03, 48.0, 48.0, 48.07, 48.07, 47.06, 47.06, 48.07, 48.03, 49.28, 49.54, 49.54, 50.92, 50.92, 51.4, 50.4, 50.4, 52.98, 53.519999999999996, 53.8, 54.36, 53.8, 53.8, 53.76, 49.55, 48.55, 47.69, 45.28, 45.11, 45.11, 45.28, 44.1, 43.07, 43.07, 43.07, 43.07, 43.07, 44.07, 46.1, 46.1, 46.1, 47.28, 48.28, 48.22, 50.24, 50.22, 50.24, 50.24, 50.24, 50.28, 49.6, 51.4, 50.4, 50.4, 50.04, 49.69, 49.69, 49.69, 49.69, 48.6, 48.6, 47.28, 47.28, 49.34, 48.28, 48.22, 48.24, 48.24, 48.22, 47.06, 48.07, 47.07, 47.07, 47.07, 47.06, 47.07, 48.1, 48.1, 46.28, 46.28, 46.28, 48.04, 50.12, 49.7, 51.65, 52.1, 50.55, 50.55, 50.16, 48.69, 48.69, 47.69, 45.28, 43.11, 43.11, 44.1, 43.11, 39.07, 38.0, 37.0, 40.0, 39.0, 38.07, 38.07, 37.0, 39.0, 39.0, 41.0, 43.0, 44.07, 45.0, 45.0, 47.11, 47.11, 47.28, 49.0, 49.69, 50.4, 50.4, 50.12, 50.12, 49.92, 49.28, 49.28, 49.28, 48.28, 48.34, 47.34, 48.34, 48.34, 48.34, 48.34, 48.34]"
STOCKTON METROPOLITAN AIRPORT CA US,2008,08,50.128,6.326,"[48.28, 48.22, 48.6, 47.6, 47.6, 49.34, 47.6, 48.6, 49.0, 50.55, 50.04, 50.04, 51.4, 51.6, 52.51, 53.48, 53.26, 53.24, 53.24, 53.48, 53.48, 52.6, 49.51, 48.28, 48.28, 47.28, 47.11, 47.11, 47.07, 47.0, 46.07, 46.07, 46.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 43.0, 43.0, 41.0, 41.0, 39.0, 43.0, 43.0, 43.0, 43.0, 43.0, 47.0, 47.06, 48.0, 49.07, 52.04, 52.04, 53.55, 53.66, 54.66, 54.66, 54.8, 54.36, 54.36, 55.23, 51.12, 49.69, 48.69, 47.34, 45.11, 45.11, 44.07, 43.07, 43.0, 42.0, 40.0, 40.07, 40.07, 41.0, 37.0, 41.0, 40.07, 40.0, 39.0, 38.07, 38.0, 39.0, 44.0, 47.11, 50.92, 54.98, 56.1, 58.2, 59.36, 61.14, 61.7, 61.7, 59.96, 57.66, 54.4, 52.92, 50.28, 50.28, 50.28, 49.11, 48.07, 49.11, 46.07, 46.0, 46.0, 45.0, 45.0, 45.0, 45.0, 45.0, 44.07, 43.0, 43.0, 43.0, 42.07, 42.07, 46.0, 46.0, 48.0, 51.22, 53.57, 53.57, 55.55, 58.2, 59.14, 60.8, 61.9, 62.05, 62.05, 60.28, 57.1, 55.16, 53.4, 50.6, 50.51, 50.51, 50.28, 48.28, 47.28, 47.11, 46.07, 44.0, 44.0, 44.0, 43.07, 42.0, 48.1, 51.0, 53.98, 53.98, 56.59, 58.96, 60.8, 62.61, 64.36, 65.28, 65.28, 62.61, 60.14, 58.519999999999996, 56.8, 53.0, 51.6, 51.6, 48.22, 47.11, 47.34, 47.28, 46.07, 47.0, 47.0, 46.0, 45.0, 45.0, 45.0, 46.0, 45.0, 45.0, 49.07, 52.51, 57.0, 57.0, 60.59, 62.28, 63.5, 65.61, 65.36, 65.36, 65.36, 63.12, 60.92, 55.55, 53.55, 51.55, 50.04, 50.04, 49.34, 48.6, 48.34, 47.28, 47.28, 48.1, 48.1, 49.11, 48.24, 48.24, 49.11, 49.28, 49.22, 50.92, 50.6, 51.12, 51.12, 52.5, 54.8, 57.2, 57.27, 56.16, 56.16, 56.16, 54.38, 51.59, 49.55, 48.55, 47.55, 46.6, 47.08, 46.84]"
STOCKTON METROPOLITAN AIRPORT CA US,2008,09,49.592,8.055,"[45.46, 44.34, 44.64, 44.22, 44.22, 42.64, 43.36, 42.22, 44.22, 47.0, 50.6, 50.6, 53.68, 57.24, 58.38, 60.65, 61.36, 58.45, 58.45, 58.24, 52.6, 47.76, 47.22, 46.36, 41.7, 41.7, 40.28, 39.75, 39.4, 38.32, 37.2, 37.2, 36.81, 34.42, 33.36, 41.16, 46.46, 51.6, 51.6, 56.45, 57.58, 60.38, 61.05, 62.2, 63.2, 63.2, 59.8, 57.27, 54.6, 52.59, 48.87, 49.01, 44.6, 43.08, 43.69, 40.72, 38.63, 38.34, 38.34, 38.34, 36.07, 36.11, 44.1, 48.69, 51.65, 55.8, 58.32, 59.9, 60.6, 61.54, 61.82, 61.82, 60.84, 56.32, 51.65, 50.65, 49.7, 48.7, 48.7, 47.16, 44.69, 43.34, 39.63, 40.36, 42.04, 42.04, 42.7, 38.81, 39.28, 44.34, 48.08, 51.8, 51.8, 54.68, 57.24, 59.38, 61.05, 61.36, 63.75, 63.75, 62.04, 54.6, 53.44, 49.7, 46.0, 45.15, 45.15, 42.34, 42.28, 40.78, 41.16, 40.78, 38.72, 38.34, 36.34, 38.28, 43.63, 47.7, 51.76, 51.76, 54.4, 57.2, 59.8, 56.0, 55.23, 56.36, 55.16, 52.8, 50.65, 49.7, 47.04, 48.04, 45.34, 44.34, 42.3, 39.28, 43.11, 39.11, 39.11, 39.07, 37.11, 36.0, 45.11, 48.69, 51.4, 51.4, 54.66, 57.14, 60.1, 62.6, 61.6, 61.72, 61.72, 59.0, 57.0, 53.8, 54.519999999999996, 53.94, 53.94, 53.94, 51.12, 49.0, 46.69, 45.28, 45.6, 42.6, 42.6, 41.36, 40.36, 40.3, 47.69, 51.4, 54.66, 54.66, 56.59, 58.36, 60.14, 61.83, 63.75, 63.519999999999996, 61.92, 58.2, 55.519999999999996, 52.6, 50.28, 48.34, 48.34, 47.87, 45.8]"
