STATION_NAME,YEAR,WEEK OF YEAR,MEAN,STDDEV,TEMPS
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,00,46.418,7.914,"[31.3, 31.3, 30.15, 29.15, 29.15, 28.15, 27.15, 28.11, 32.36, 36.72, 41.85, 47.77, 54.68, 62.58, 59.58, 55.4, 49.16, 46.2, 43.31, 40.4, 36.0, 35.0, 33.44, 31.9, 28.72, 28.42, 29.36, 27.36, 27.44, 26.44, 27.36, 29.75, 36.32, 42.43, 48.82, 53.66, 60.4, 61.769999999999996, 55.48, 49.28, 49.16, 45.9, 41.22, 40.52, 40.52, 40.52, 40.85, 39.28, 37.69, 38.2, 38.81, 39.16, 38.81, 37.69, 40.78, 42.9, 44.34, 49.15, 51.8, 52.6, 52.36, 52.36, 52.01, 50.55, 49.4, 49.12, 49.0, 49.0, 49.16, 48.7, 48.16, 48.16, 48.55, 49.94, 47.87, 49.68, 48.84, 49.94, 49.16, 48.55, 48.69, 50.04, 50.4, 49.6, 49.54, 49.54, 49.51, 50.6, 51.54, 51.54, 51.54, 50.51, 51.54, 51.54, 51.54, 51.51, 51.92, 52.26, 52.24, 52.2, 54.07, 54.06, 55.24, 55.26, 55.24, 55.24, 55.24, 55.24, 55.2, 55.24, 55.24, 55.07, 52.24, 52.07, 51.06, 51.06, 50.04, 51.06, 50.0, 50.0, 49.06, 49.04, 49.06, 49.07, 48.28, 47.28, 48.34, 47.28, 47.28, 46.1, 45.11, 43.11, 46.1, 48.24, 48.28, 49.54, 48.92, 49.4, 50.65, 50.16, 48.55, 48.04, 48.92, 48.92, 48.69, 47.69, 48.92, 49.54, 48.6, 47.6, 48.24, 48.28, 48.24, 48.24, 48.28, 49.54, 48.34, 48.36, 47.34]"
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,01,44.907,3.943,"[47.13, 47.13, 47.13, 47.34, 47.13, 47.13, 46.69, 44.34, 43.34, 42.34, 42.34, 41.11, 41.36, 42.11, 43.34, 45.69, 47.16, 46.87, 48.15, 46.7, 45.55, 43.55, 43.69, 43.34, 43.34, 43.26, 43.26, 43.28, 43.28, 43.11, 42.3, 42.11, 41.11, 41.26, 41.11, 41.26, 41.28, 41.26, 41.28, 41.26, 40.3, 40.57, 40.57, 40.3, 39.26, 40.57, 40.3, 40.57, 41.11, 41.26, 42.57, 42.3, 44.04, 46.16, 45.16, 46.65, 46.6, 47.16, 48.34, 48.34, 46.22, 44.7, 43.85, 41.08, 40.78, 39.72, 38.34, 37.28, 37.11, 38.34, 37.28, 36.28, 36.28, 35.11, 35.11, 36.11, 37.28, 40.36, 43.08, 46.16, 46.6, 46.6, 46.7, 46.7, 46.65, 46.04, 46.16, 45.69, 45.72, 45.69, 45.13, 45.34, 45.13, 45.11, 45.13, 45.13, 45.13, 46.0, 45.13, 45.11, 45.13, 46.1, 46.0, 46.0, 46.0, 45.07, 46.0, 45.07, 46.0, 46.0, 46.0, 46.0, 45.07, 46.0, 46.0, 45.07, 46.0, 44.07, 44.07, 44.07, 43.07, 43.11, 43.11, 43.26, 43.26, 43.28, 45.13, 45.34, 46.6, 47.72, 49.12, 49.16, 50.16, 50.16, 49.12, 49.12, 47.04, 45.69, 43.34, 42.34, 41.28, 40.11, 39.28, 40.3, 41.11, 41.28, 41.28, 41.28, 40.3, 40.11, 40.11, 44.69, 46.6, 48.87, 51.6, 53.36, 55.23, 55.23, 56.32, 53.519999999999996, 50.28, 48.55, 48.7, 48.16, 47.72, 48.16, 47.72, 46.6, 46.36, 46.69, 46.36, 45.13, 45.34, 45.72, 44.6, 44.6, 44.6, 44.04, 44.69, 44.69, 43.63, 43.72, 46.36, 46.69, 46.36, 48.92, 50.04, 50.92, 50.92, 52.04, 51.4, 52.4, 53.4, 53.98, 53.55, 51.4, 48.92, 47.6, 47.69, 46.69, 45.72, 45.72, 45.69, 45.72, 45.69, 43.72, 43.63, 43.63, 41.36, 41.36, 40.11, 39.28, 38.28, 38.28, 39.11, 39.11, 42.34, 47.16, 47.55, 50.65, 52.01, 53.519999999999996, 54.519999999999996, 52.66, 50.16, 48.16, 46.04, 44.69, 44.69, 43.63, 43.69, 42.6]"
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,02,39.395,7.931,"[42.6, 42.69, 41.63, 41.72, 40.6, 38.34, 36.28, 36.11, 39.28, 46.6, 48.55, 50.65, 51.16, 52.8, 53.8, 51.66, 50.16, 46.04, 44.69, 43.69, 41.63, 41.63, 39.28, 39.28, 37.28, 38.13, 36.13, 35.11, 34.26, 35.11, 33.11, 32.26, 32.26, 32.08, 32.11, 30.26, 31.07, 31.08, 33.08, 34.07, 35.07, 36.13, 37.0, 37.0, 36.07, 37.0, 37.0, 38.13, 38.07, 40.57, 40.11, 46.6, 49.87, 53.41, 58.2, 58.84, 56.94, 52.98, 49.0, 47.69, 45.69, 43.63, 42.34, 41.36, 40.36, 37.28, 37.11, 35.11, 34.28, 34.26, 34.26, 34.26, 34.11, 32.26, 33.07, 33.07, 34.26, 34.11, 32.26, 32.26, 32.26, 32.26, 33.11, 35.07, 35.07, 37.0, 37.07, 40.07, 43.26, 44.07, 45.13, 44.28, 51.16, 53.41, 56.27, 58.06, 58.1, 52.1, 46.69, 44.6, 43.63, 42.6, 41.63, 40.36, 38.28, 37.11, 36.28, 35.07, 35.11, 35.07, 34.26, 36.34, 34.26, 32.08, 32.26, 32.08, 32.0, 30.08, 33.0, 33.07, 35.07, 42.43, 44.32, 46.04, 47.7, 49.0, 49.0, 47.16, 44.08, 41.28, 39.16, 37.69, 36.42, 36.72, 34.36, 34.36, 31.3, 30.3, 31.3, 30.3, 30.3, 30.15, 29.15, 29.12, 32.3, 36.72, 41.16, 45.34, 48.92, 50.5, 52.6, 51.77, 48.0, 44.52, 41.85, 40.28, 38.2, 36.42, 36.42, 32.3, 31.3, 31.12, 31.36, 30.26, 30.26, 30.3, 30.26, 30.26, 29.07, 30.15, 30.15, 29.14, 29.12, 29.14, 29.15, 30.26, 31.3, 34.75, 35.36, 40.28, 44.52, 48.84, 52.6, 55.44, 56.519999999999996, 53.44, 46.22, 43.46, 40.28, 36.72, 36.2, 34.42, 34.42, 33.44, 32.42, 30.15, 29.12, 29.15, 29.15, 28.36, 29.15, 31.36, 35.81, 39.85, 45.84, 51.6, 54.45, 58.519999999999996, 58.65, 55.519999999999996, 50.6, 46.0, 41.34, 39.85, 36.2, 35.81, 33.44]"
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,03,42.330,5.991,"[32.42, 32.42, 30.42, 30.42, 29.15, 28.36, 28.36, 28.15, 31.44, 35.2, 40.0, 44.36, 47.59, 50.22, 49.34, 48.16, 46.6, 46.87, 44.7, 44.7, 44.9, 43.36, 43.34, 43.08, 42.52, 39.16, 36.42, 34.42, 33.36, 32.36, 31.3, 30.11, 30.15, 29.15, 29.15, 29.12, 29.14, 29.14, 30.15, 29.07, 34.38, 33.36, 34.38, 37.63, 41.08, 44.85, 45.34, 45.16, 47.22, 46.01, 44.08, 42.85, 41.16, 41.16, 39.72, 41.63, 42.04, 41.72, 40.6, 40.6, 41.72, 41.63, 43.34, 42.57, 42.57, 42.6, 42.57, 42.57, 42.6, 42.57, 43.63, 44.36, 44.34, 44.07, 44.07, 45.13, 45.13, 44.28, 45.13, 45.13, 44.07, 45.13, 45.34, 47.69, 48.04, 45.13, 45.13, 45.34, 45.13, 45.34, 45.13, 45.13, 45.11, 45.13, 45.13, 45.11, 45.13, 45.13, 45.11, 45.13, 45.13, 45.11, 45.13, 46.0, 45.13, 45.13, 46.0, 45.07, 45.11, 45.13, 46.1, 46.0, 45.11, 45.13, 45.13, 45.13, 44.28, 45.13, 44.1, 43.26, 43.0, 42.07, 42.07, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 42.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 44.07, 44.07, 43.07, 44.07, 44.0, 44.0, 43.28, 41.36, 41.26, 41.36, 38.63, 37.28, 36.13, 36.28, 35.07, 34.11, 34.11, 34.07, 35.07, 35.07, 35.11, 36.11, 36.13, 35.07, 35.07, 35.11, 35.07, 34.11, 35.28, 36.13, 36.13, 36.28, 36.11, 34.28, 34.26, 34.26, 34.11, 34.28, 34.28, 34.11, 34.28, 40.72, 40.72, 39.72, 40.72, 42.16, 42.04, 41.96, 41.08, 41.96, 42.16, 41.96, 42.16, 39.63, 40.57, 39.63, 38.34, 37.63, 40.36, 42.34, 42.57, 42.57, 42.57, 41.63, 41.63, 40.57, 41.96, 41.63, 42.57, 42.57, 42.34, 42.57, 42.34, 43.63, 43.72, 44.69, 43.72, 43.72, 44.69, 45.04, 45.16, 45.16, 46.16, 46.16, 46.16, 46.6, 47.55, 48.55, 49.4, 51.55, 52.1, 52.1, 52.66, 50.4, 50.98, 51.16, 51.16, 51.16, 50.65, 49.55, 49.7, 48.7, 46.16, 45.16, 42.69, 41.72, 41.16, 39.81, 37.63, 36.34, 41.16, 46.01, 50.76, 54.4, 56.16, 57.27, 55.94, 57.16, 57.27, 54.59, 52.36, 53.76, 52.6, 51.8, 53.519999999999996, 51.4, 50.92, 50.92, 51.92]"
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,04,42.843,5.709,"[51.54, 51.54, 53.24, 53.26, 53.24, 53.24, 50.92, 49.6, 48.51, 49.54, 48.92, 48.6, 48.92, 48.69, 48.92, 48.34, 48.92, 47.69, 48.92, 48.69, 48.92, 49.0, 48.69, 49.4, 48.92, 49.54, 49.54, 48.51, 50.92, 50.04, 49.54, 49.54, 48.92, 48.36, 48.36, 48.92, 49.0, 48.04, 48.04, 47.72, 47.04, 47.69, 47.69, 47.69, 47.13, 47.34, 47.28, 47.13, 47.13, 48.24, 48.28, 48.24, 46.6, 46.36, 46.36, 44.6, 43.72, 43.69, 41.08, 39.81, 39.72, 39.63, 40.6, 41.72, 42.04, 43.16, 43.16, 43.7, 44.7, 44.9, 43.85, 45.16, 44.7, 46.0, 46.22, 44.22, 43.28, 42.16, 41.72, 41.08, 38.63, 37.36, 36.28, 35.28, 33.3, 33.11, 32.11, 31.12, 30.3, 30.11, 31.12, 33.3, 37.36, 39.72, 43.34, 44.08, 46.0, 45.86, 46.0, 45.15, 44.85, 43.55, 42.69, 42.04, 41.72, 41.96, 41.72, 41.63, 41.28, 41.96, 41.16, 39.72, 38.72, 38.72, 37.63, 37.36, 38.72, 39.81, 41.08, 43.16, 43.16, 43.16, 44.6, 46.22, 46.46, 46.01, 46.01, 46.22, 43.34, 42.85, 40.78, 38.63, 36.34, 35.36, 34.36, 33.36, 32.3, 31.3, 31.3, 30.3, 30.3, 30.11, 32.36, 35.72, 39.16, 42.85, 47.22, 48.84, 50.6, 51.38, 51.71, 50.77, 47.34, 45.7, 43.08, 42.69, 42.34, 43.63, 43.72, 44.6, 44.36, 44.36, 44.36, 45.34, 45.13, 45.34, 44.6, 45.13, 45.34, 45.13, 45.13, 45.13, 45.28, 45.13, 45.13, 44.07, 44.1, 44.07, 44.07, 43.28, 42.11, 43.69, 44.16, 45.7, 46.22, 48.0, 48.84, 48.92, 48.92, 46.01, 43.7, 43.16, 42.69, 41.72, 40.6, 39.36, 39.36, 38.28, 37.36, 34.11, 34.26, 33.11, 33.11, 32.26, 32.26, 32.26, 31.08, 32.26, 32.26, 32.26, 33.08, 33.07, 33.07, 33.07, 33.08, 34.0, 35.07, 35.07, 35.07, 37.0, 37.0, 38.13, 38.11, 38.13, 41.08, 43.28, 44.34, 47.16, 47.82, 46.84, 46.34, 45.16, 44.04, 43.63, 43.72, 44.34, 43.28, 45.13, 44.28, 45.28]"
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,05,43.388,7.382,"[46.28, 47.13, 47.2, 48.24, 48.92, 48.92, 48.55, 48.92, 48.36, 47.6, 47.6, 46.6, 46.36, 47.13, 46.28, 47.69, 47.55, 47.16, 47.72, 47.72, 49.16, 49.12, 48.04, 47.16, 44.69, 46.6, 45.16, 43.72, 43.63, 42.69, 41.63, 41.63, 40.6, 41.36, 41.36, 40.36, 41.36, 41.36, 41.36, 39.28, 38.28, 38.34, 39.36, 41.63, 43.16, 44.34, 46.46, 47.22, 47.59, 48.0, 47.59, 47.0, 44.36, 42.64, 40.7, 39.0, 38.0, 34.81, 32.72, 31.3, 31.36, 30.3, 30.15, 30.15, 29.15, 29.15, 30.15, 32.36, 38.32, 41.64, 45.86, 48.9, 49.6, 49.6, 49.6, 48.77, 45.15, 41.16, 39.75, 38.75, 37.42, 36.42, 35.42, 34.42, 33.36, 31.36, 30.3, 30.15, 30.11, 30.15, 30.3, 35.42, 38.81, 43.28, 47.55, 49.16, 51.01, 52.6, 52.01, 52.01, 47.87, 45.8, 45.7, 45.69, 42.3, 41.11, 39.11, 38.28, 36.28, 35.11, 35.11, 34.11, 34.11, 33.11, 35.28, 40.36, 44.69, 48.7, 51.8, 53.519999999999996, 54.59, 56.27, 58.05, 54.519999999999996, 51.28, 47.7, 46.16, 44.69, 44.04, 41.63, 39.28, 39.36, 38.28, 36.11, 36.11, 35.28, 35.11, 35.11, 37.28, 41.36, 46.04, 52.66, 53.16, 53.8, 55.36, 55.36, 55.23, 53.519999999999996, 50.16, 47.55, 46.04, 44.6, 43.34, 42.34, 41.63, 39.36, 38.28, 38.11, 36.11, 36.13, 36.13, 37.28, 35.11, 34.11, 35.28, 40.36, 44.16, 47.7, 52.6, 57.83, 60.05, 62.54, 64.54, 61.6, 54.66, 51.66, 49.55, 48.16, 47.04, 44.69, 43.34]"
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,06,44.983,9.209,"[43.34, 41.28, 39.11, 39.28, 37.0, 37.11, 36.13, 36.11, 35.07, 35.11, 36.28, 38.07, 41.26, 41.28, 45.69, 50.65, 54.519999999999996, 59.61, 64.54, 64.45, 61.72, 56.32, 53.36, 51.16, 48.04, 48.55, 48.55, 44.34, 41.28, 41.28, 41.26, 39.26, 40.3, 40.57, 39.28, 39.11, 38.13, 38.13, 37.0, 37.11, 37.0, 36.13, 36.28, 38.13, 37.28, 40.57, 42.34, 46.69, 51.55, 59.14, 61.61, 61.83, 62.61, 60.8, 59.14, 55.66, 52.98, 51.4, 48.92, 48.69, 46.6, 46.34, 44.28, 43.26, 42.07, 45.13, 41.26, 41.11, 41.26, 41.26, 39.26, 40.11, 38.07, 38.07, 38.13, 38.07, 38.07, 37.0, 37.11, 38.13, 37.11, 37.0, 37.0, 39.11, 44.6, 44.36, 49.0, 51.98, 57.32, 60.61, 63.54, 66.26, 69.39, 68.56, 62.54, 55.98, 53.4, 50.92, 48.6, 47.6, 46.34, 45.13, 45.28, 45.13, 44.07, 44.28, 42.11, 41.26, 42.11, 40.11, 39.11, 39.11, 40.11, 42.57, 44.36, 44.34, 47.69, 51.55, 53.98, 56.519999999999996, 58.05, 58.84, 57.2, 56.0, 52.8, 50.65, 48.84, 45.84, 45.86, 44.04, 42.4, 42.6, 39.56, 40.67, 34.94, 34.64, 31.56, 36.8, 38.72, 39.82, 45.15, 50.64, 51.36, 51.36, 51.1, 53.64, 54.4, 55.48, 53.25, 49.36, 47.28, 40.24, 38.82, 35.9, 32.84, 33.32, 32.32, 29.75, 29.75, 28.36, 28.42, 28.5, 27.36, 29.36, 34.4, 40.29, 45.32, 50.92, 55.25, 56.64, 57.77, 57.43, 56.16, 53.1, 45.15, 44.36, 43.0, 38.75, 37.28, 36.32, 34.81, 32.72, 33.81, 31.75, 30.75, 29.36, 29.15, 32.42, 37.2, 41.52, 46.0, 50.8, 56.66, 59.0, 61.09, 62.2, 60.92, 52.94, 49.34, 47.16, 44.7, 41.08, 39.72, 37.42]"
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,07,45.166,4.821,"[36.42, 35.36, 33.3, 32.3, 32.11, 34.38, 34.26, 34.26, 34.07, 34.07, 35.07, 35.07, 35.07, 35.07, 36.13, 36.13, 38.28, 44.7, 49.92, 55.16, 59.38, 60.2, 62.2, 53.66, 50.55, 48.04, 47.04, 45.69, 44.34, 43.63, 42.11, 40.3, 40.11, 39.26, 38.07, 39.26, 39.26, 40.07, 40.07, 40.0, 39.26, 40.07, 40.07, 39.07, 40.11, 40.07, 40.07, 41.26, 41.26, 42.07, 43.26, 45.13, 45.28, 50.98, 52.66, 48.16, 47.04, 47.04, 46.04, 43.63, 43.34, 42.3, 41.28, 39.11, 38.07, 41.26, 41.11, 42.11, 42.57, 42.3, 42.11, 42.11, 42.3, 43.11, 43.26, 43.34, 42.57, 43.28, 43.26, 43.34, 44.36, 43.72, 44.6, 44.69, 45.72, 47.16, 45.72, 47.04, 48.04, 50.55, 51.98, 50.4, 50.4, 49.92, 48.6, 48.34, 47.28, 48.34, 48.24, 48.28, 48.1, 47.06, 47.06, 47.06, 48.07, 47.06, 47.06, 48.1, 47.06, 48.1, 47.06, 48.07, 47.06, 47.28, 47.06, 47.06, 47.13, 47.06, 46.0, 46.0, 46.0, 46.1, 46.0, 46.0, 46.0, 45.07, 46.0, 47.06, 47.06, 47.07, 47.06, 48.22, 48.6, 50.12, 46.36, 46.6, 50.12, 51.28, 52.36, 51.6, 51.76, 48.16, 47.69, 47.16, 46.04, 45.69, 42.3, 42.3, 40.11, 42.11, 41.28, 42.11, 42.11, 42.11, 42.3, 43.34, 45.69, 45.69, 48.69, 48.16, 48.7, 49.87, 49.12, 49.55, 49.0, 48.04, 48.69, 47.6, 48.36, 47.6, 48.36, 47.6, 48.34, 48.34, 47.28, 47.06, 47.06, 47.06, 47.13, 47.28, 47.11, 47.13, 47.13, 47.11, 47.13, 47.11, 47.13, 46.28, 46.28, 47.13, 47.13, 46.34, 46.28, 46.36, 46.36, 46.6, 47.72, 48.92, 48.36, 48.69, 48.36, 48.34, 44.36, 45.72, 47.72, 47.6, 48.92, 50.4, 50.65, 50.4, 50.65, 49.94, 51.8, 49.16, 49.16, 48.7, 46.22, 43.69, 42.6, 42.6, 40.6, 40.36, 38.28, 37.11, 38.11, 36.07, 36.11, 37.11, 37.28, 38.34, 39.36, 40.36, 43.69, 47.16, 52.59, 53.32, 51.76, 49.6, 50.59, 47.7, 46.65, 46.6, 45.72, 45.6, 45.34, 44.36, 45.34, 45.34, 46.36, 45.6, 46.6]"
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,08,47.931,6.606,"[47.34, 48.36, 47.6, 47.6, 48.36, 48.36, 48.92, 48.69, 46.6, 48.69, 48.04, 47.69, 49.0, 50.4, 52.5, 52.5, 51.0, 51.4, 51.65, 50.92, 50.92, 51.0, 50.6, 49.54, 50.24, 50.28, 49.51, 48.51, 48.6, 48.28, 47.34, 46.28, 45.28, 44.1, 43.11, 42.11, 41.26, 40.07, 40.07, 40.07, 40.07, 40.07, 40.07, 41.26, 41.26, 41.26, 41.26, 42.07, 42.07, 42.07, 44.1, 44.07, 45.11, 44.1, 45.13, 45.11, 45.11, 46.34, 47.72, 47.69, 49.69, 50.12, 52.5, 53.36, 53.36, 53.8, 53.36, 51.16, 48.55, 46.69, 45.69, 42.6, 41.28, 41.36, 41.36, 39.28, 38.28, 37.11, 37.11, 35.28, 35.07, 39.28, 43.34, 48.69, 54.66, 55.8, 58.36, 58.96, 59.9, 61.83, 59.8, 56.1, 52.4, 50.04, 49.0, 48.69, 46.6, 43.28, 42.11, 42.3, 40.11, 39.11, 38.11, 37.11, 37.11, 41.11, 44.34, 49.12, 54.1, 58.14, 62.83, 64.54, 64.36, 63.6, 61.28, 57.45, 54.4, 53.4, 50.92, 48.34, 50.6, 48.34, 46.07, 43.11, 42.11, 41.11, 41.26, 40.11, 39.26, 40.07, 38.07, 40.11, 40.07, 40.07, 41.26, 41.08, 43.26, 42.07, 42.07, 42.07, 43.07, 47.07, 47.06, 47.06, 50.24, 53.4, 56.59, 61.14, 62.7, 63.7, 63.39, 60.8, 57.45, 54.04, 51.6, 50.92, 49.6, 47.34, 46.34, 44.28, 43.28, 42.11, 42.11, 42.3, 40.11, 38.07, 39.11, 38.07, 38.07, 41.26, 41.26, 42.07, 43.11, 45.13, 48.34, 51.4, 54.98, 59.2, 63.28, 63.5, 61.28, 57.2, 56.8, 51.98, 49.6, 48.51, 48.28, 47.06, 48.1, 47.06, 47.28, 47.11, 47.07, 46.28, 46.1, 46.1, 45.13, 46.28, 46.28, 46.34, 46.36, 46.34, 47.13, 46.28, 48.34, 50.92, 51.0, 51.4, 51.4, 52.98, 52.98, 54.36, 54.87, 56.6, 56.6, 56.6, 56.14, 56.4, 56.27, 54.38, 50.59, 48.15, 46.22, 45.16, 44.6, 43.69, 41.63]"
PASO ROBLES MUNICIPAL AIRPORT CA US,2008,09,46.666,9.601,"[40.6, 40.6, 40.3, 39.28, 35.11, 35.11, 34.07, 37.28, 41.63, 45.16, 46.46, 48.68, 53.6, 54.4, 56.27, 58.519999999999996, 56.519999999999996, 52.38, 49.77, 45.46, 42.7, 43.85, 41.7, 38.72, 36.34, 35.28, 35.28, 37.42, 32.3, 33.3, 34.11, 38.34, 42.04, 46.22, 51.01, 55.0, 61.24, 63.2, 62.58, 60.35, 58.45, 53.4, 49.6, 46.34, 44.34, 41.08, 38.63, 37.63, 37.81, 35.28, 35.36, 34.36, 32.3, 33.36, 32.3, 37.42, 42.7, 47.76, 52.76, 56.94, 61.54, 61.67, 61.67, 60.96, 55.23, 52.01, 51.4, 48.84, 47.46, 41.72, 39.36, 37.28, 38.34, 35.28, 34.28, 34.28, 33.3, 33.11, 39.63, 44.16, 48.16, 54.519999999999996, 59.08, 61.24, 61.05, 63.04, 61.82, 59.84, 56.08, 50.41, 49.5, 46.01, 43.85, 44.85, 39.72, 37.36, 37.42, 34.36, 33.3, 32.3, 33.36, 32.3, 37.36, 40.72, 43.55, 49.76, 54.2, 57.27, 59.08, 57.84, 57.83, 55.23, 54.59, 51.01, 48.34, 45.16, 45.04, 45.04, 41.36, 40.36, 37.11, 36.11, 35.28, 34.11, 34.11, 34.11, 38.28, 44.04, 48.55, 53.36, 57.14, 59.61, 62.54, 62.8, 64.75, 61.75, 58.05, 58.2, 52.41, 49.87, 46.69, 45.6, 44.34, 44.6, 44.69, 43.08, 39.63, 39.36, 37.11, 38.13, 37.11, 40.57, 42.34, 47.04, 51.16, 55.0, 58.8, 61.93, 63.54, 63.75, 65.07, 63.41, 56.94, 52.66, 50.55, 48.69, 48.04, 45.34, 44.34]"
