STATION_NAME,DATE,MEAN,STDDEV,TEMPS
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-01,44.194,9.599,"36.34, 36.72, 36.42, 34.28, 33.36, 33.3, 34.36, 34.36, 43.34, 55.3, 59.1, 59.24, 57.16, 61.24, 57.08, 52.59, 48.01, 46.46, 42.85, 40.28, 39.28, 37.2, 38.2"
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-02,45.721,8.942,"37.9, 37.2, 35.72, 37.2, 34.72, 34.72, 35.42, 36.42, 45.15, 53.68, 59.43, 61.24, 61.22, 56.08, 54.22, 49.93, 48.13, 46.04, 46.04, 45.32, 44.36"
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-03,47.586,5.616,"44.36, 42.52, 40.16, 40.75, 38.81, 40.28, 40.16, 42.85, 44.52, 46.01, 54.68, 55.38, 56.08, 55.38, 55.5, 53.36, 53.55, 52.4, 49.92, 49.69, 47.34, 43.63, 45.69, 47.34, 49.28"
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-04,52.970,2.092,"51.28, 51.54, 51.54, 49.51, 49.54, 49.54, 49.51, 51.51, 51.54, 50.92, 50.55, 51.4, 51.92, 51.92, 52.51, 52.92, 52.04, 51.54, 51.54, 50.22, 51.22, 52.2, 52.04, 53.06, 52.04, 53.06, 53.07, 54.07, 54.06, 54.06, 55.03, 54.06, 56.04, 56.04, 56.06, 56.07, 56.06, 56.04, 56.06, 56.06, 56.04, 55.0, 55.07, 54.06, 54.07"
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-05,52.203,1.223,"53.2, 52.2, 52.07, 52.07, 50.22, 51.22, 50.08, 49.07, 50.08, 50.24, 52.24, 51.22, 53.26, 52.54, 53.57, 53.24, 53.48, 54.04, 53.92, 52.54, 52.51, 52.51, 52.26, 52.24, 52.24, 51.22, 51.07, 51.06, 53.06, 51.22, 51.22, 52.24, 53.06, 52.07, 53.06, 53.07, 54.06, 54.06, 53.2"
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-06,49.508,2.739,"53.24, 53.07, 53.24, 53.06, 53.07, 53.06, 53.07, 53.06, 52.24, 51.22, 50.22, 49.28, 48.24, 48.22, 48.22, 49.28, 49.51, 50.6, 50.65, 51.65, 51.65, 50.12, 49.54, 49.34, 47.28, 47.11, 47.07, 47.06, 47.11, 46.0, 45.13, 45.28, 45.34, 45.28, 45.28"
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-07,47.561,5.045,"46.1, 45.07, 46.1, 46.0, 46.07, 44.07, 44.28, 43.34, 42.6, 46.28, 46.22, 49.01, 51.76, 52.76, 55.4, 55.4, 56.05, 55.16, 55.38, 52.94, 50.87, 48.16, 46.16, 44.6, 43.16, 41.81, 38.63, 38.34"
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-08,46.120,5.613,"37.36, 38.34, 38.11, 38.11, 39.11, 38.07, 39.11, 40.11, 46.22, 52.41, 53.41, 51.6, 51.16, 51.28, 51.16, 51.16, 50.12, 49.0, 48.34, 47.28, 47.28, 48.34, 49.51, 50.28"
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-09,48.994,2.816,"50.24, 49.22, 50.24, 49.07, 47.06, 47.06, 47.06, 49.07, 47.06, 49.11, 49.11, 50.24, 49.07, 49.11, 48.24, 49.28, 49.6, 50.92, 50.92, 52.4, 53.55, 53.4, 53.4, 52.4, 51.92, 50.92, 49.51, 47.28, 46.1, 45.0, 45.11, 42.07, 42.07"
SANTA BARBARA MUNICIPAL AIRPORT CA US,2008-01-10,47.515,5.557,"41.08, 41.0, 40.07, 41.0, 40.07, 41.08, 39.0, 43.0, 46.0, 50.22, 53.26, 54.4, 54.4, 53.88, 54.5, 54.98, 54.5, 52.6, 52.26, 49.11, 48.1, 47.11, 47.11, 45.07, 44.07"
