STATION_NAME,YEAR,WEEK OF YEAR,MEAN,STDDEV,TEMPS
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,00,47.804,6.299,"[37.9, 37.9, 37.4, 38.0, 36.32, 35.2, 34.81, 35.2, 40.52, 46.22, 50.59, 56.44, 59.1, 61.24, 62.05, 60.19, 55.49, 50.5, 47.22, 46.46, 44.34, 42.7, 41.16, 39.81, 38.72, 36.42, 36.72, 37.42, 36.34, 35.36, 33.3, 35.36, 41.7, 44.34, 49.8, 53.8, 52.01, 51.16, 50.55, 50.4, 47.6, 47.11, 48.36, 47.13, 48.24, 48.28, 47.13, 47.34, 46.36, 47.34, 46.34, 44.28, 44.28, 46.34, 47.6, 47.34, 47.6, 44.28, 43.11, 42.11, 43.11, 45.34, 48.04, 52.28, 54.36, 52.4, 54.1, 52.6, 51.28, 51.54, 50.24, 50.22, 50.04, 50.08, 51.0, 52.0, 51.0, 52.0, 52.0, 52.0, 51.6, 51.28, 51.28, 50.24, 50.24, 51.28, 51.54, 50.51, 51.28, 51.51, 52.51, 53.06, 53.2, 54.26, 53.24, 53.24, 54.06, 56.06, 56.04, 56.06, 56.06, 56.06, 49.04, 49.04, 48.07, 48.1, 46.1, 45.11, 43.07, 44.07, 45.07]"
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,01,46.568,4.282,"[43.0, 43.0, 43.0, 43.0, 42.0, 41.0, 41.0, 43.0, 46.0, 48.0, 48.03, 48.04, 48.55, 49.7, 48.34, 48.7, 47.55, 47.69, 47.34, 48.0, 41.0, 40.07, 40.07, 39.0, 40.0, 40.11, 42.57, 43.11, 46.34, 47.69, 48.55, 48.55, 50.28, 50.28, 49.34, 47.7, 45.34, 43.34, 41.36, 41.36, 40.3, 41.36, 41.36, 41.36, 41.36, 40.3, 40.11, 39.28, 39.11, 39.28, 39.26, 40.57, 40.3, 40.57, 41.26, 42.34, 43.34, 45.04, 47.16, 47.72, 47.04, 47.04, 47.13, 47.13, 47.11, 47.13, 47.13, 47.13, 47.13, 47.13, 47.11, 47.13, 47.13, 47.07, 47.06, 47.06, 47.06, 48.1, 48.0, 48.0, 48.0, 49.0, 48.0, 48.0, 46.07, 46.0, 46.0, 46.0, 46.0, 46.0, 44.07, 44.07, 44.1, 45.13, 46.0, 44.07, 44.07, 44.07, 42.07, 42.07, 42.07, 40.07, 41.26, 41.26, 41.08, 40.07, 41.26, 41.26, 41.08, 41.26, 41.26, 41.26, 40.07, 40.07, 41.0, 41.08, 41.26, 41.26, 42.07, 42.07, 44.07, 48.1, 48.24, 49.34, 50.6, 51.92, 50.4, 51.55, 49.6, 48.28, 48.34, 47.11, 47.28, 47.28, 47.11, 47.34, 47.28, 47.28, 47.28, 47.28, 47.34, 47.34, 47.28, 48.28, 48.28, 50.92, 49.92, 50.4, 51.55, 52.4, 53.4, 54.04, 53.4, 53.88, 53.92, 53.88, 53.92, 52.54, 52.51, 52.51, 52.54, 52.26, 52.24, 51.54, 50.22, 49.22, 48.22, 48.1, 47.11, 47.07, 47.13, 47.11, 47.13, 47.13, 46.07, 46.0, 46.0, 45.07, 46.0, 46.1, 46.1, 46.0, 44.07, 47.13, 47.13, 47.11, 47.13, 46.0, 46.0, 47.06, 47.06, 47.06, 47.06, 48.24, 48.24, 48.24, 49.11, 52.6, 53.98, 55.98, 57.66, 58.36, 58.59, 58.2, 54.8, 51.98, 50.04, 48.28, 47.34, 45.28, 43.28, 44.1, 43.28, 42.3, 42.11, 41.11, 41.11, 42.11, 41.11, 43.11, 46.28, 50.04, 50.55, 52.98, 54.8, 56.36, 56.59, 55.98, 53.4, 50.6, 50.51, 49.11, 48.1, 46.28, 45.28, 44.1]"
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,02,45.132,7.434,"[43.11, 42.11, 42.11, 46.34, 45.28, 46.34, 45.6, 43.34, 49.0, 51.55, 53.16, 54.66, 56.8, 57.36, 58.96, 58.519999999999996, 55.8, 51.98, 49.51, 48.34, 46.28, 45.28, 44.28, 44.1, 43.11, 42.3, 39.07, 41.28, 39.11, 41.36, 39.11, 39.11, 44.34, 48.16, 52.28, 55.36, 58.94, 60.05, 59.32, 55.66, 52.66, 51.65, 50.04, 48.6, 48.34, 46.34, 45.34, 42.3, 43.28, 41.28, 40.3, 40.11, 40.3, 39.11, 38.11, 39.11, 41.28, 46.34, 49.0, 51.4, 52.98, 53.66, 53.98, 52.4, 49.92, 48.6, 46.28, 45.28, 44.1, 42.3, 40.11, 41.11, 40.11, 39.28, 39.63, 37.36, 37.42, 35.36, 34.36, 34.42, 39.16, 45.16, 50.04, 53.08, 52.230000000000004, 52.84, 54.08, 52.94, 52.04, 46.0, 45.9, 46.2, 44.22, 41.36, 36.85, 37.0, 35.9, 35.4, 34.9, 34.4, 34.52, 32.9, 32.32, 34.52, 38.7, 46.4, 48.92, 51.92, 53.97, 55.95, 55.71, 53.44, 48.95, 46.22, 40.16, 41.95, 41.0, 38.32, 38.4, 37.28, 37.28, 36.2, 34.81, 34.72, 33.72, 34.81, 32.36, 35.81, 39.85, 45.08, 49.7, 53.44, 55.71, 58.5, 57.5, 57.45, 51.41, 49.76, 45.8, 43.28, 42.7, 41.7, 39.81, 40.75, 38.81, 37.69, 36.42, 36.42, 36.42, 34.36, 32.3, 36.42, 40.75, 45.46, 50.77, 54.49, 58.24, 60.68, 60.84, 57.66, 54.68, 49.82, 44.34, 42.85, 40.75, 40.28, 38.2, 38.2]"
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,03,44.568,5.063,"[38.72, 38.72, 38.72, 40.72, 41.63, 41.63, 40.57, 40.57, 40.6, 40.57, 42.34, 43.28, 42.3, 43.34, 43.26, 44.34, 44.36, 45.69, 45.72, 45.16, 46.04, 45.13, 47.13, 46.28, 46.36, 48.87, 50.59, 47.76, 46.34, 46.46, 43.55, 42.04, 39.63, 39.36, 37.28, 37.28, 37.36, 36.28, 36.28, 36.11, 37.11, 37.28, 38.28, 38.07, 39.26, 40.11, 40.07, 40.07, 41.26, 41.26, 41.26, 42.11, 41.26, 41.26, 41.26, 43.0, 43.0, 44.07, 50.65, 48.7, 48.34, 46.7, 46.16, 43.28, 48.55, 48.16, 49.55, 48.55, 47.55, 48.65, 46.36, 46.6, 46.28, 45.28, 46.07, 45.11, 45.07, 44.07, 45.13, 45.11, 44.07, 44.07, 44.07, 42.3, 43.11, 41.26, 41.28, 41.26, 41.08, 41.11, 38.11, 39.07, 41.28, 42.3, 43.28, 44.6, 44.6, 45.72, 45.69, 45.72, 46.16, 45.69, 44.69, 43.69, 43.63, 42.57, 43.34, 42.57, 42.11, 41.28, 41.26, 41.26, 42.11, 41.26, 40.3, 41.26, 41.26, 40.07, 41.0, 40.11, 39.26, 39.26, 40.11, 39.26, 39.26, 40.11, 40.3, 39.26, 39.26, 40.11, 40.11, 40.3, 39.26, 40.3, 41.26, 41.28, 41.26, 42.11, 42.57, 43.69, 42.57, 43.34, 42.57, 42.57, 42.3, 42.57, 42.3, 42.57, 42.57, 42.3, 40.57, 40.3, 40.3, 40.57, 40.36, 40.57, 40.36, 39.28, 40.36, 40.36, 40.3, 41.36, 41.63, 45.69, 46.69, 46.69, 47.69, 48.04, 49.12, 49.0, 50.98, 50.98, 52.04, 52.4, 53.26, 53.26, 52.51, 53.26, 53.0, 52.4, 53.55, 53.55, 52.4, 52.98, 51.98, 52.1, 52.6, 51.59, 51.4, 49.59, 50.77, 50.92, 51.41, 52.76, 54.2, 56.16, 58.05, 57.84, 59.84, 58.94, 57.2, 56.0, 55.5, 50.92, 50.92, 50.51, 50.28, 51.0]"
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,04,44.975,4.735,"[51.03, 53.0, 51.92, 51.0, 50.4, 50.04, 49.69, 48.51, 49.69, 50.4, 52.04, 49.54, 49.51, 49.54, 48.28, 48.24, 47.06, 48.24, 48.24, 48.22, 48.24, 48.24, 50.24, 50.28, 51.54, 51.28, 50.24, 50.28, 50.24, 50.24, 51.07, 51.06, 50.6, 50.04, 49.54, 49.28, 51.06, 51.06, 49.06, 49.06, 49.04, 47.07, 46.0, 45.0, 44.0, 42.0, 42.3, 41.28, 41.28, 40.57, 41.26, 40.57, 41.26, 40.3, 41.11, 43.69, 44.6, 46.22, 48.01, 48.15, 45.8, 47.22, 48.01, 47.22, 45.8, 42.69, 40.6, 38.63, 38.34, 37.28, 36.28, 36.28, 36.11, 35.28, 34.11, 34.11, 33.08, 34.11, 36.11, 37.36, 38.28, 40.72, 43.16, 45.34, 44.7, 46.65, 46.22, 45.16, 45.55, 45.34, 45.13, 45.28, 45.13, 46.0, 46.0, 46.07, 46.0, 47.06, 47.06, 48.03, 48.0, 48.0, 47.0, 45.07, 44.0, 41.0, 38.07, 37.07, 37.11, 37.07, 39.11, 38.07, 39.07, 38.07, 38.11, 38.07, 38.07, 42.34, 45.04, 45.7, 48.16, 48.16, 49.01, 48.34, 49.8, 48.7, 45.15, 42.28, 40.78, 38.63, 38.34, 38.34, 39.36, 40.36, 40.6, 41.36, 40.3, 40.36, 40.36, 39.28, 40.3, 44.16, 45.7, 47.34, 49.34, 49.12, 49.69, 49.69, 50.04, 50.12, 49.0, 49.69, 49.34, 49.11, 48.24, 48.24, 48.22, 48.24, 48.22, 48.24, 49.04, 49.06, 49.06, 50.0, 50.0, 50.0, 49.06, 48.0, 47.06, 47.11, 45.34, 43.11, 41.11, 39.07, 38.07, 36.07, 37.11, 42.34, 44.69, 45.55, 47.87, 48.16, 49.16, 49.34, 48.34, 47.7, 45.16, 44.04, 43.69, 41.36, 39.36, 37.28, 36.28, 36.11, 35.28, 35.11, 35.28, 34.28, 35.11, 36.11, 37.28, 40.36, 42.04, 44.7, 45.16, 47.7, 48.65, 48.28, 46.6, 46.65, 47.04, 47.72, 47.69, 46.36, 46.6, 47.13, 47.11, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.07, 46.0, 46.0, 46.1, 46.0, 46.0, 46.07, 46.0, 46.0, 45.07, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.07, 50.24, 50.24, 52.0, 52.0, 52.0]"
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,05,45.380,7.395,"[49.04, 47.07, 48.07, 48.0, 50.65, 50.6, 49.01, 46.04, 47.7, 46.7, 44.16, 44.16, 41.63, 42.34, 41.36, 40.36, 39.11, 40.11, 40.11, 40.36, 39.11, 38.11, 37.11, 37.11, 37.28, 43.16, 47.16, 48.82, 49.93, 50.92, 51.68, 51.84, 52.1, 50.04, 48.26, 45.4, 41.16, 38.52, 37.4, 35.28, 35.2, 35.28, 34.81, 33.72, 33.72, 33.44, 32.36, 32.72, 34.81, 38.75, 41.95, 46.04, 49.0, 50.8, 49.8, 49.77, 49.15, 48.46, 46.6, 43.08, 41.81, 39.72, 38.72, 37.63, 37.42, 36.34, 36.34, 36.34, 35.28, 35.28, 37.28, 37.0, 37.28, 36.13, 37.11, 41.72, 45.69, 48.55, 50.55, 51.12, 50.55, 51.65, 52.04, 52.04, 51.12, 50.04, 49.69, 49.69, 47.13, 46.34, 46.34, 44.28, 43.11, 42.11, 41.11, 40.07, 39.11, 38.07, 36.07, 38.11, 36.07, 36.07, 39.11, 42.34, 46.16, 48.7, 52.01, 52.8, 53.519999999999996, 54.68, 55.5, 53.36, 51.0, 49.69, 48.28, 45.28, 44.34, 43.28, 42.3, 42.11, 41.11, 41.11, 39.07, 41.11, 40.07, 39.07, 42.11, 47.34, 49.92, 53.16, 55.36, 57.32, 60.05, 59.61, 59.0, 58.32, 53.66, 50.04, 49.0, 47.04, 46.04, 44.69, 43.69, 42.04, 40.36, 40.6, 41.81, 39.72, 39.72, 37.63, 39.63, 47.87, 54.2, 59.08, 62.68, 65.56, 65.75, 66.75, 66.72, 60.83, 53.36, 53.36, 51.55, 50.65, 48.16, 47.55, 46.04]"
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,06,47.666,6.844,"[45.04, 42.6, 45.04, 42.6, 42.34, 39.28, 41.36, 42.6, 47.16, 50.87, 56.32, 60.05, 64.54, 65.26, 64.45, 64.75, 60.14, 50.51, 49.28, 49.51, 47.28, 46.34, 44.69, 43.69, 44.16, 41.63, 42.6, 42.34, 41.36, 41.28, 39.28, 42.34, 47.04, 50.65, 54.66, 58.14, 61.7, 63.36, 63.36, 62.83, 61.6, 54.5, 49.22, 48.07, 47.06, 47.06, 47.06, 47.06, 47.06, 47.07, 49.34, 48.69, 48.69, 46.6, 45.34, 45.34, 43.11, 43.28, 41.28, 41.11, 45.34, 48.04, 52.66, 58.14, 61.61, 66.41, 65.36, 66.24, 64.36, 57.96, 51.51, 50.22, 49.22, 46.0, 46.0, 46.07, 47.06, 47.06, 46.07, 46.0, 46.0, 46.0, 45.07, 46.0, 44.07, 44.07, 44.07, 44.07, 44.07, 44.0, 44.07, 44.07, 44.0, 45.0, 45.0, 46.0, 45.07, 46.0, 45.0, 45.0, 45.0, 45.0, 46.0, 47.0, 47.06, 47.06, 47.06, 47.06, 48.07, 47.06, 49.54, 49.28, 51.54, 50.6, 51.54, 53.0, 54.4, 55.98, 60.519999999999996, 58.68, 56.32, 54.96, 53.96, 52.8, 51.96, 52.28, 51.3, 50.3, 50.15, 48.92, 48.01, 44.76, 44.76, 45.75, 46.76, 49.64, 51.85, 54.64, 56.77, 57.76, 57.43, 58.43, 58.58, 56.6, 52.36, 52.4, 46.15, 46.2, 42.5, 39.64, 38.7, 38.15, 38.15, 37.0, 35.9, 33.9, 34.32, 33.9, 36.4, 43.16, 45.9, 49.7, 52.71, 54.32, 52.59, 51.8, 51.0, 49.69, 47.28, 47.28, 45.28, 45.13, 44.28, 46.28, 46.28, 46.28, 43.28, 42.57, 40.3, 39.28, 38.13, 38.11, 38.07, 39.07, 40.07, 39.26, 39.11, 40.07, 40.07, 40.07, 39.0, 40.0, 39.0, 40.07, 40.07, 41.26, 41.08, 42.07, 42.07, 41.26, 42.07, 44.07, 44.1, 48.04, 50.87, 53.8, 56.32, 52.8, 51.28, 50.28, 47.6, 47.28, 46.1, 43.34, 42.34, 41.26, 42.57, 42.34, 42.57, 44.34]"
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,07,47.784,2.817,"[45.11, 45.13, 46.1, 45.13, 45.28, 43.11, 43.26, 43.28, 43.28, 44.28, 44.28, 44.28, 45.34, 47.72, 47.69, 50.04, 50.12, 49.69, 49.0, 47.69, 46.36, 46.6, 47.34, 46.6, 46.6, 46.28, 46.28, 47.13, 46.28, 46.34, 46.36, 46.34, 47.13, 46.34, 46.34, 45.28, 46.1, 45.28, 45.28, 45.28, 45.6, 45.6, 46.6, 47.69, 49.12, 48.04, 47.72, 48.04, 47.04, 46.69, 46.36, 46.36, 46.69, 46.36, 46.69, 45.6, 46.6, 47.69, 46.69, 46.69, 46.69, 46.69, 46.6, 46.69, 46.04, 46.04, 46.04, 46.6, 46.69, 47.04, 47.6, 48.36, 48.34, 48.36, 48.34, 49.6, 50.6, 50.92, 50.51, 51.6, 49.51, 50.92, 50.92, 50.6, 50.24, 50.24, 49.22, 50.22, 50.24, 50.28, 50.24, 50.08, 51.06, 51.06, 50.24, 50.04, 52.0, 52.0, 52.0, 52.0, 51.0, 52.0, 52.0, 52.0, 50.04, 51.06, 51.03, 52.0, 52.0, 52.0, 51.0, 48.0, 49.0, 48.0, 48.0, 47.06, 48.1, 48.07, 47.06, 47.06, 48.07, 48.22, 48.24, 49.51, 49.69, 51.0, 51.92, 50.92, 52.04, 52.04, 51.0, 49.6, 49.54, 49.34, 49.54, 48.28, 48.24, 48.24, 49.54, 49.54, 49.34, 48.24, 49.54, 48.28, 48.24, 48.1, 47.11, 46.0, 45.11, 45.11, 44.28, 45.11, 45.11, 45.13, 45.28, 45.13, 45.28, 45.28, 46.1, 46.69, 47.28, 49.28, 48.6, 52.0, 51.06, 52.0, 51.0, 52.0, 52.0, 52.0, 52.0, 52.04, 51.51, 51.51, 50.6, 50.28, 50.28, 50.24, 50.24, 49.22, 49.06, 48.22, 48.24, 48.22, 48.24, 48.28, 48.24, 48.24, 48.22, 47.06, 48.07, 47.06, 47.06, 47.06, 47.06, 48.1, 48.07, 47.06, 47.06, 48.1, 47.06, 48.1, 47.07, 47.06, 47.06, 47.07, 48.24, 48.22, 48.24, 47.06, 47.06, 48.1, 50.24, 49.54, 48.24, 48.24, 48.22, 47.06, 48.24, 48.51, 49.54, 49.54, 49.54, 49.54, 49.28, 50.92, 49.92, 51.0, 51.4, 48.69, 47.6, 47.34, 44.28, 45.34, 43.11, 42.11, 41.11, 40.07, 39.11, 39.11, 39.11, 39.11, 38.07, 39.07, 38.07, 40.07, 40.07, 41.11, 42.3, 46.16, 48.16, 50.01, 50.59, 48.87, 48.28, 48.36, 47.06, 48.1, 47.06, 47.06, 48.07, 49.06, 49.06, 48.03]"
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,08,50.319,4.893,"[48.28, 48.34, 47.28, 47.28, 47.69, 49.0, 48.04, 50.92, 50.92, 49.92, 50.92, 50.51, 51.54, 51.54, 50.24, 50.24, 50.22, 50.24, 52.24, 51.06, 51.06, 51.07, 52.0, 52.0, 53.06, 53.06, 54.0, 53.0, 52.0, 50.22, 50.24, 49.22, 50.24, 49.22, 50.24, 49.22, 50.24, 47.06, 49.07, 49.07, 49.07, 49.06, 48.24, 49.11, 48.07, 47.06, 47.11, 47.13, 46.1, 44.1, 44.07, 44.07, 46.0, 48.28, 50.92, 51.4, 52.92, 54.04, 53.4, 54.5, 52.98, 53.0, 53.4, 55.8, 57.32, 56.14, 54.8, 49.92, 48.34, 47.34, 45.28, 45.28, 44.1, 44.28, 44.28, 43.11, 42.11, 41.28, 43.34, 41.28, 47.6, 52.5, 55.16, 58.519999999999996, 61.6, 63.72, 64.54, 65.54, 63.61, 62.05, 57.45, 51.92, 50.6, 51.51, 50.51, 49.28, 49.28, 49.34, 47.28, 46.1, 47.11, 46.1, 45.07, 45.11, 47.11, 50.92, 53.4, 55.98, 60.12, 62.59, 63.87, 59.2, 61.87, 59.59, 53.48, 51.22, 49.07, 49.22, 48.22, 47.07, 46.07, 45.07, 46.0, 45.07, 45.07, 44.07, 44.07, 44.07, 44.07, 44.07, 44.07, 44.07, 44.07, 43.0, 42.0, 44.07, 45.07, 49.34, 53.0, 55.55, 58.2, 58.96, 61.0, 61.83, 61.61, 58.45, 53.57, 51.06, 51.06, 51.06, 50.04, 50.24, 49.04, 49.06, 49.06, 49.06, 49.04, 48.03, 48.03, 48.03, 48.03, 47.0, 46.0, 46.0, 45.0, 45.0, 44.0, 46.0, 48.0, 47.06, 52.92, 55.0, 52.6, 53.57, 53.57, 51.54, 51.51, 51.54, 51.54, 51.51, 50.28, 49.22, 48.22, 49.54, 49.34, 49.34, 49.28, 49.28, 49.28, 49.54, 49.28, 49.28, 48.22, 49.11, 49.11, 49.11, 47.06, 47.07, 48.28, 48.24, 49.54, 49.28, 50.6, 52.98, 54.1, 57.2, 60.84, 60.35, 57.8, 55.32, 51.76, 48.87, 49.15, 49.01, 46.22, 44.6, 43.69]"
WATSONVILLE MUNICIPAL AIRPORT CA US,2008,09,48.766,7.396,"[42.6, 43.34, 41.11, 40.3, 39.11, 39.11, 38.28, 44.24, 49.77, 54.08, 56.25, 56.66, 56.32, 56.45, 56.32, 58.38, 56.44, 53.38, 51.77, 48.15, 45.46, 43.46, 42.52, 42.64, 40.52, 40.52, 38.9, 39.0, 37.9, 36.2, 36.2, 43.22, 46.84, 52.6, 58.38, 61.519999999999996, 63.75, 62.04, 59.24, 58.66, 57.66, 50.92, 49.87, 48.1, 46.16, 44.04, 42.04, 41.72, 40.72, 40.72, 41.36, 39.81, 38.63, 38.34, 38.11, 41.63, 44.6, 49.87, 55.38, 58.27, 60.61, 60.83, 61.2, 59.83, 58.8, 53.55, 50.04, 50.12, 47.6, 44.6, 43.63, 43.69, 41.63, 41.72, 40.36, 39.28, 40.11, 38.28, 39.11, 43.63, 47.69, 51.8, 55.3, 58.27, 59.84, 60.8, 60.8, 59.06, 56.14, 50.92, 49.51, 48.28, 48.34, 46.1, 43.28, 42.34, 40.78, 39.28, 41.0, 37.42, 37.69, 37.42, 37.69, 40.78, 46.7, 51.41, 56.4, 60.96, 60.19, 61.24, 61.96, 54.87, 55.519999999999996, 57.0, 55.23, 50.28, 49.22, 48.28, 46.6, 45.6, 44.34, 42.3, 43.34, 42.6, 41.36, 40.3, 40.3, 42.34, 46.16, 48.55, 53.36, 56.32, 59.05, 60.14, 59.32, 58.2, 58.27, 56.32, 51.92, 50.92, 50.6, 51.0, 49.51, 50.6, 49.28, 48.1, 47.13, 47.13, 50.08, 46.36, 46.34, 44.34, 42.6, 42.34, 41.28, 45.6, 50.12, 53.16, 55.36, 58.14, 56.8, 58.96, 57.66, 57.36, 53.88, 50.28, 48.22, 48.07, 47.11, 46.28, 45.11, 43.28]"
