STATION_NAME,DATE,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYRelativeHumidity,NORMALIZED_TEMPERATURE
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-07-31 13:47,100,69,18,94.42
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 06:54,75,63,50,69.0
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 07:45,77,65,51,70.88
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 08:46,82,65,40,75.2
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 09:50,90,68,31,83.18
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 10:48,93,69,28,86.28
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 11:49,97,70,25,90.25
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 12:50,100,70,21,93.7
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 13:52,100,70,21,93.7
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 14:50,100,70,21,93.7
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-01 15:50,99,69,21,92.7
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-02 06:51,75,64,54,69.06
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-02 07:51,77,66,54,71.06
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-02 08:46,81,68,51,74.37
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-02 09:47,84,68,43,77.12
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-02 10:48,86,68,38,79.16
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-02 12:52,77,69,65,71.8
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-03 12:50,86,68,38,79.16
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-03 13:50,90,68,31,83.18
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-03 14:47,88,67,33,81.07
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-03 15:50,82,70,55,75.4
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-03 16:50,70,66,83,66.68
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-03 17:23,68,65,88,65.36
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-03 17:50,66,65,94,65.06
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-03 18:50,68,65,88,65.36
SAN BERNARDINO INTERNATIONAL AIRPORT CA US,2014-08-03 19:50,68,67,94,67.06
