Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
2015-12-27,1.45,98576.63,14306.68,50893.97,0,33375.98,29507.45,3868.53,0
2015-12-20,1.35,99793.55,12746.47,48195.95,1.52,38849.61,25535.8,13313.81,0
2015-12-13,1.39,98605.4,13609.24,46518.56,3.05,38474.55,24359.79,14114.76,0
2015-12-06,1.48,91211.53,17839.96,47527.65,1.53,25842.39,25661.06,181.33,0
2015-11-29,1.75,83415.54,13195.19,48229.29,0,21991.06,21671.7,319.36,0
2015-11-22,1.6,89062.36,14803.41,51282.8,0,22976.15,22516.44,459.71,0
2015-11-15,1.59,97265.23,16244.94,59089.47,0,21930.82,21274.01,656.81,0
2015-11-08,1.66,101320.15,17074.6,62469.04,0,21776.51,20005.46,1771.05,0
2015-11-01,1.6,104331.19,20050.21,63408.14,0,20872.84,20158.5,714.34,0
2015-10-25,1.64,103918.03,20902.94,66867.39,0,16147.7,15174.85,972.85,0
2015-10-18,2.01,73799.28,15960.2,48820.15,3.09,9015.84,7988.73,1027.11,0
2015-10-11,2.07,70004.38,14400.49,48933.21,3.1,6667.58,6607.58,60,0
2015-10-04,2,81751.48,18414.61,57015.39,0,6321.48,6281.48,40,0
2015-09-27,1.85,80734.58,20639.23,50992.3,0,9103.05,9093.05,10,0
2015-09-20,1.92,94267.54,28489.91,60941.41,0,4836.22,4802.89,33.33,0
2015-09-13,1.97,95230.68,34760.74,54821.89,0,5648.05,5608.05,40,0
2015-09-06,1.99,88963.61,23875.92,56393.97,0,8693.72,8693.72,0,0
2015-08-30,1.98,90125.42,23449.1,55879.18,0,10797.14,10797.14,0,0
2015-08-23,1.85,107431.24,30454.79,63850.97,3.11,13122.37,13122.37,0,0
2015-08-16,1.96,90240.43,24630.76,52035.43,0,13574.24,13574.24,0,0
2015-08-09,2.03,86211.24,23147.23,52640.84,0,10423.17,10423.17,0,0
2015-08-02,1.99,89435.6,26067.67,54133.2,0,9234.73,9234.73,0,0
2015-07-26,1.93,98449.84,31604.24,57990.08,0,8855.52,8855.52,0,0
2015-07-19,1.89,103081.23,33422.15,59794.77,0,9864.31,9864.31,0,0
2015-07-12,1.8,115063.87,45482.88,60702.07,3.11,8875.81,8867.16,8.65,0
2015-07-05,1.67,135522.65,50367.92,74571.56,18.66,10564.51,10564.51,0,0
2015-06-28,1.67,116913.79,46841.35,61727.62,0,8344.82,8341.49,3.33,0
2015-06-21,1.69,116908.54,51294.9,55597.45,3.09,10013.1,10009.77,3.33,0
2015-06-14,1.68,116322.44,51607.99,54937.64,43.18,9733.63,9733.63,0,0
2015-06-07,1.67,114406.15,49301.79,52704.34,6.16,12393.86,12393.86,0,0
2015-05-31,1.5,119999.12,52846.87,53628.31,0,13523.94,13523.94,0,0
2015-05-24,1.5,135543.89,60597.97,63560.02,0,11385.9,11385.9,0,0
2015-05-17,1.49,133759.31,65830.84,56261.16,0,11667.31,11667.31,0,0
2015-05-10,1.4,160570.28,77103.7,70434.57,0,13032.01,13032.01,0,0
2015-05-03,1.48,119059.56,54176.97,51542.88,0,13339.71,13339.71,0,0
2015-04-26,1.5,128166.45,63539.73,51223.93,0,13402.79,13402.79,0,0
2015-04-19,1.52,123851.34,55948.06,57078.01,1.49,10823.78,10823.78,0,0
2015-04-12,1.5,119549.28,59861.05,49554.48,0,10133.75,10133.75,0,0
2015-04-05,1.52,120814.24,57082.3,51295.72,0,12436.22,12436.22,0,0
2015-03-29,1.53,111423.89,56829.47,44390.86,0,10203.56,10203.56,0,0
2015-03-22,1.3,112284.57,64969.37,40012.49,0,7302.71,7302.71,0,0
2015-03-15,1.52,94419.17,65441.32,21855.14,0,7122.71,7122.71,0,0
2015-03-08,1.48,108346.9,75016.11,21619.82,0,11710.97,11710.97,0,0
2015-03-01,1.15,250298.58,178033.64,59786.79,0,12478.15,12478.15,0,0
2015-02-22,1.41,136421.88,102232.31,25715.73,0,8473.84,8470.51,3.33,0
2015-02-15,1.52,116499.36,85444.97,21689.75,0,9364.64,9364.64,0,0
2015-02-08,1.35,132790.41,94440.9,24587.9,0,13761.61,13761.61,0,0
2015-02-01,1.11,196031.9,142332.45,41999.51,2.92,11697.02,11697.02,0,0
2015-01-25,1.3,121698.02,80952.24,28216.13,0,12529.65,12529.65,0,0
2015-01-18,1.24,195207.6,123138.29,58616.16,0,13453.15,13453.15,0,0
2015-01-11,1.1,158110.68,123712.51,25975.27,1.47,8421.43,8421.43,0,0
2015-01-04,1.24,142349.77,107490.73,25711.96,2.93,9144.15,9144.15,0,0
