Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
2017-12-31,0.93,7132711.23,2280934.17,3201737.11,111845.09,1538194.86,1461095.1,20553.6,56546.16
2017-12-24,1.13,5346535.57,1934361.67,1934710.69,116855.41,1360607.8,1277612.22,21328.12,61667.46
2017-12-17,0.98,6205211.05,1901831.08,2877209.2,115250.14,1310920.63,1229946.93,21220.86,59752.84
2017-12-10,1.06,5715712.21,2234102.17,2013200.4,90168.26,1378241.38,1291298.72,27353.79,59588.87
2017-12-03,1.09,5544556,2333912,1660573,100234,1449838,1365781,30856,53201
2017-11-26,1.3,4392810,1734281,1354966,121946,1181616,1093008,27254,61354
2017-11-19,1.26,4782021,1879513,1360694,107055,1434759,1328429,47615,58715
2017-11-12,1.15,5637795,2309785,1882561,108415,1337035,1248089,30662,58284
2017-11-05,1.15,5663438.53,2148627.4,2224529.18,108333.63,1181948.32,1105519.8,20488.19,55940.33
2017-10-29,1.2,5714676.89,1981731.12,2384845.53,125816.68,1222283.56,1165130.71,22762.03,34390.82
2017-10-22,1.53,4420877.4,1604916.52,1779177.98,123891.36,912891.54,856748.54,21482.38,34660.62
2017-10-15,1.68,4066640.98,1348029.41,1699672.65,137027.4,881911.52,822315.27,22733.62,36862.63
2017-10-08,1.74,4151444.41,1377101,1829530.74,138380.27,806432.4,747128.46,25531.54,33772.4
2017-10-01,1.77,3870633.16,1288266.68,1608863.15,120405.29,853098.04,794746.4,25612.08,32739.56
2017-09-24,1.74,3937000.67,1383479.62,1575761.37,119703.21,858056.47,801572.79,24211.83,32271.85
2017-09-17,1.72,4167531.38,1571529.56,1556655.98,128019.39,911326.45,860705.01,18473.03,32148.41
2017-09-10,1.71,4380657.13,1677368.14,1599511.35,141899.49,961878.15,904618.47,19579.65,37680.03
2017-09-03,1.65,4648718.22,1856634.4,1720930.65,168178.12,902975.05,839519.87,21358.39,42096.79
2017-08-27,1.78,4360013.67,1889886.87,1420373.34,157338.07,892415.39,830646.31,19482.22,42286.86
2017-08-20,1.64,4524974.68,1995269.12,1293180.21,165218.13,1071307.22,986592.65,33841.83,50872.74
2017-08-13,1.26,5862368.39,2346710.99,2079376.28,190313.03,1245968.09,1160556.19,32819.18,52592.72
2017-08-06,1.36,5655955.05,2313742.61,1892140.35,159763.39,1290308.7,1201486.97,30452.62,58369.11
2017-07-30,1.38,5571000.96,2179199.68,2206571.02,152942.18,1032288.08,948516.41,28336.99,55434.68
2017-07-23,1.46,5188483.1,2201004.96,1738865.16,151424.79,1097188.19,1018813.29,20424.08,57950.82
2017-07-16,1.49,5405190.35,2319570.09,1821613.01,178446.19,1085561.06,1007608.04,22434.17,55518.85
2017-07-09,1.28,6499668.48,2634902.26,1818682.87,207945.39,1838137.96,1767976.83,5214.88,64946.25
2017-07-02,1.28,6607292.61,2527123.67,1942683.02,224121.48,1913364.44,1844798.2,4337.49,64228.75
2017-06-25,1.15,6999255.87,2706875.38,1977949.64,191069.11,2123361.74,2061235.1,5202.82,56923.82
2017-06-18,1.2,6599048.85,2691571.96,1650089.15,191313.38,2066074.36,1989158.83,5912.72,71002.81
2017-06-11,1.22,6177216.24,2302944.62,1517908.04,188258.15,2168105.43,2095827.24,5598.97,66679.22
2017-06-04,1.2,6507093.57,2378539.46,1580024.38,141320.44,2407209.29,2348867.54,4428.25,53913.5
2017-05-28,1.32,6160751.92,2307940.04,1793496.44,153502.24,1905813.2,1829396.11,3223.85,73193.24
2017-05-21,1.35,5599003.03,2077113.57,1627754.26,137755.31,1756379.89,1685046.63,3942.61,67390.65
2017-05-14,1.17,6370622.3,2375685.35,1570244.89,134825.51,2289866.55,2216400.16,4798.87,68667.52
2017-05-07,1.08,7872203.23,2851510.24,2470795.47,150595.46,2399302.06,2314634.27,3601.53,81066.26
2017-04-30,1.25,5889669.2,2197824.46,1689225.61,157508.63,1845110.5,1770413.98,2532.7,72163.82
2017-04-23,1.26,5637299.78,2027854.71,1521895.03,162006.91,1925543.13,1849562.53,6322.77,69657.83
2017-04-16,1.34,5442086.44,2047142.24,1572972.43,163002.25,1658969.52,1585488.4,1756.03,71725.09
