"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,140",""
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,250",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","200",""
"SURVEY","2016","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","50",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","50",""
"SURVEY","2015","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS, NOT SOLD - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","50",""
